stage,split,target,source,session_or_direction_index,heldout_class,semantic_permutation,start_index,initial_determinant,final_determinant,objective,gradient_norm,iterations,converged,near_optimal,stopping_criterion,actual_total_starts
A,A,1,2,0,right_hand,-1,3,1,0.9999999999999957,2.048534964769513,5.361205675517424e-06,13,True,False,"Terminated - min grad norm reached after 13 iterations, 0.08 seconds.",4
A,B,1,2,0,right_hand,-1,0,1,1.000000000000001,3.2121419509677946,4.182923807604006e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.14 seconds.",4
A,B,1,2,0,right_hand,-1,1,-1,-0.9999999999999929,3.2058908437082554,3.2022863534102767e-07,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.14 seconds.",4
A,B,1,2,0,right_hand,-1,2,-1,-1.0000000000000109,3.208608208752323,9.303295868644653e-08,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.14 seconds.",4
A,B,1,2,0,right_hand,-1,3,1,0.9999999999999992,3.2002249390464037,5.387065166482672e-07,39,True,True,"Terminated - min grad norm reached after 39 iterations, 0.40 seconds.",4
A,F,1,2,0,feet,-1,0,1,0.9999999999999991,3.3293089619537417,3.5346021918477705e-07,17,True,True,"Terminated - min grad norm reached after 17 iterations, 0.17 seconds.",4
A,F,1,2,0,feet,-1,1,-1,-0.9999999999999948,3.332913127244404,1.1865736035047218e-06,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.29 seconds.",4
A,F,1,2,0,feet,-1,2,-1,-0.9999999999999951,3.338641773428666,3.2946908714194274e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.23 seconds.",4
A,F,1,2,0,feet,-1,3,1,1.0000000000000098,3.337685905604253,6.5004847447619785e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.16 seconds.",4
A,A,1,2,0,feet,-1,0,1,0.9999999999999959,2.986087530221239,9.517598005280977e-06,27,True,True,"Terminated - min grad norm reached after 27 iterations, 0.16 seconds.",4
A,A,1,2,0,feet,-1,1,-1,-1.0000000000000024,2.9964155996260224,6.285193018946066e-06,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.14 seconds.",4
A,A,1,2,0,feet,-1,2,1,0.9999999999999978,3.0050127292799846,1.642081295415128e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.14 seconds.",4
A,A,1,2,0,feet,-1,3,-1,-1.0000000000000016,3.000769573220241,3.0244221063032346e-07,15,True,False,"Terminated - min grad norm reached after 15 iterations, 0.11 seconds.",4
A,B,1,2,0,feet,-1,0,-1,-1.0,3.7754322710424875,7.236991951843251e-07,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.12 seconds.",4
A,B,1,2,0,feet,-1,1,1,1.0000000000000049,3.780836290483848,2.7392868706293986e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.14 seconds.",4
A,B,1,2,0,feet,-1,2,1,1.0000000000000002,3.766855611020899,5.702256684106831e-09,26,True,True,"Terminated - min grad norm reached after 26 iterations, 0.16 seconds.",4
A,B,1,2,0,feet,-1,3,-1,-0.9999999999999951,3.79098504777218,1.2001436892478494e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.18 seconds.",4
A,F,1,2,0,tongue,-1,0,1,0.9999999999999976,1.7562285370395432,5.985087462249104e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.28 seconds.",4
A,F,1,2,0,tongue,-1,1,-1,-1.0000000000000009,1.756141675064635,8.696608622014582e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.14 seconds.",4
A,F,1,2,0,tongue,-1,2,-1,-0.9999999999999982,1.7548511674722547,7.4825843902912375e-06,30,True,True,"Terminated - min grad norm reached after 30 iterations, 0.38 seconds.",4
A,F,1,2,0,tongue,-1,3,1,1.0000000000000044,1.7554213154881588,1.3399985684122503e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.18 seconds.",4
A,A,1,2,0,tongue,-1,0,-1,-0.9999999999999996,1.7147494097619749,2.0514846974065743e-08,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.23 seconds.",4
A,A,1,2,0,tongue,-1,1,1,1.0000000000000047,1.7140789089131596,3.054595909327527e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.33 seconds.",4
A,A,1,2,0,tongue,-1,2,-1,-0.999999999999999,1.6969185156001214,3.3665297227665567e-06,31,True,True,"Terminated - min grad norm reached after 31 iterations, 0.27 seconds.",4
A,A,1,2,0,tongue,-1,3,1,0.9999999999999956,1.723301540291732,2.8974642165230788e-08,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.12 seconds.",4
A,B,1,2,0,tongue,-1,0,-1,-1.0000000000000027,1.9640053745198514,1.6960312348220247e-07,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.25 seconds.",4
A,B,1,2,0,tongue,-1,1,1,0.9999999999999932,1.9692353653378152,3.24674394292799e-07,41,True,False,"Terminated - min grad norm reached after 41 iterations, 0.28 seconds.",4
A,B,1,2,0,tongue,-1,2,1,1.0000000000000007,1.9616488079356502,1.8397613849180876e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.18 seconds.",4
A,B,1,2,0,tongue,-1,3,-1,-0.9999999999999989,1.9569277012155575,3.6122953715011174e-06,21,True,True,"Terminated - min grad norm reached after 21 iterations, 0.15 seconds.",4
A,F,1,2,1,left_hand,-1,0,1,1.0000000000000002,3.8157137021321854,1.1521345274937893e-08,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.16 seconds.",4
A,F,1,2,1,left_hand,-1,1,-1,-0.9999999999999992,3.8157578922406765,1.8574378628777615e-06,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.15 seconds.",4
A,F,1,2,1,left_hand,-1,2,-1,-0.9999999999999969,3.787449299840661,2.6273551214599217e-06,20,True,True,"Terminated - min grad norm reached after 20 iterations, 0.21 seconds.",4
A,F,1,2,1,left_hand,-1,3,1,0.9999999999999936,3.791177264605092,2.5009568493558143e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.22 seconds.",4
A,A,1,2,1,left_hand,-1,0,-1,-1.0000000000000044,3.5953090753341135,1.9972165109344883e-06,47,True,False,"Terminated - min grad norm reached after 47 iterations, 0.57 seconds.",4
A,A,1,2,1,left_hand,-1,1,1,1.000000000000001,3.586347018071074,3.0126873097551256e-06,42,True,True,"Terminated - min grad norm reached after 42 iterations, 0.22 seconds.",4
A,A,1,2,1,left_hand,-1,2,-1,-1.0000000000000029,3.594048012393893,4.831345008985143e-09,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.18 seconds.",4
A,A,1,2,1,left_hand,-1,3,1,1.0000000000000029,3.6039093808066065,1.319512598601824e-07,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.19 seconds.",4
A,B,1,2,1,left_hand,-1,0,-1,-1.0000000000000044,4.342053268904653,3.58882963550577e-06,32,True,False,"Terminated - min grad norm reached after 32 iterations, 0.31 seconds.",4
A,B,1,2,1,left_hand,-1,1,1,1.0000000000000027,4.339993114149115,8.444164677387011e-06,25,True,True,"Terminated - min grad norm reached after 25 iterations, 0.15 seconds.",4
A,B,1,2,1,left_hand,-1,2,-1,-1.000000000000001,4.352589665719403,1.7078451285342004e-06,36,True,False,"Terminated - min grad norm reached after 36 iterations, 0.38 seconds.",4
A,B,1,2,1,left_hand,-1,3,1,0.9999999999999984,4.357448715331488,5.651775509111705e-08,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.31 seconds.",4
A,F,1,2,1,right_hand,-1,0,-1,-1.0000000000000089,3.815952539182039,1.2790375522416225e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.17 seconds.",4
A,F,1,2,1,right_hand,-1,1,1,1.0000000000000022,3.8184784881543323,3.6572087156180874e-07,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.21 seconds.",4
A,F,1,2,1,right_hand,-1,2,-1,-0.9999999999999979,3.8046748423042285,3.90023169093957e-07,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.25 seconds.",4
A,F,1,2,1,right_hand,-1,3,1,1.0000000000000024,3.8038743688526457,4.710881234624796e-06,21,True,True,"Terminated - min grad norm reached after 21 iterations, 0.15 seconds.",4
A,A,1,2,1,right_hand,-1,0,1,1.0000000000000064,3.9129011414602806,2.9062219178753298e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.22 seconds.",4
A,A,1,2,1,right_hand,-1,1,-1,-1.000000000000009,3.914821179318322,3.795363356079071e-07,26,True,False,"Terminated - min grad norm reached after 26 iterations, 0.29 seconds.",4
A,A,1,2,1,right_hand,-1,2,1,1.0000000000000069,3.9079776559194928,1.5762744444189405e-07,35,True,True,"Terminated - min grad norm reached after 35 iterations, 0.27 seconds.",4
A,A,1,2,1,right_hand,-1,3,-1,-1.0000000000000013,3.919924909872253,5.02249539329219e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.13 seconds.",4
A,B,1,2,1,right_hand,-1,0,1,0.9999999999999928,4.148273843827759,1.8777585962447552e-06,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.15 seconds.",4
A,B,1,2,1,right_hand,-1,1,-1,-1.0000000000000049,4.155365439860014,4.440900965769116e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.14 seconds.",4
A,B,1,2,1,right_hand,-1,2,1,1.0000000000000036,4.153745628285219,2.688047546388554e-08,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.17 seconds.",4
A,B,1,2,1,right_hand,-1,3,-1,-0.9999999999999976,4.155517397183976,3.871260666873367e-06,15,True,False,"Terminated - min grad norm reached after 15 iterations, 0.19 seconds.",4
A,F,1,2,1,feet,-1,0,-1,-1.0000000000000036,4.544404979797152,8.579373996988925e-06,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.15 seconds.",4
A,F,1,2,1,feet,-1,1,1,0.999999999999996,4.538379017623344,6.089410525689275e-07,20,True,True,"Terminated - min grad norm reached after 20 iterations, 0.17 seconds.",4
A,F,1,2,1,feet,-1,2,1,0.9999999999999991,4.545504198944972,3.546307442289412e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.16 seconds.",4
A,F,1,2,1,feet,-1,3,-1,-1.000000000000008,4.542242220862695,6.225440549061606e-08,32,True,False,"Terminated - min grad norm reached after 32 iterations, 0.52 seconds.",4
A,A,1,2,1,feet,-1,0,1,0.9999999999999997,4.411052963004989,1.413953615447551e-06,24,True,True,"Terminated - min grad norm reached after 24 iterations, 0.22 seconds.",4
A,A,1,2,1,feet,-1,1,-1,-1.000000000000005,4.420246794005022,1.8378387152621957e-07,31,True,False,"Terminated - min grad norm reached after 31 iterations, 0.34 seconds.",4
A,A,1,2,1,feet,-1,2,-1,-1.000000000000003,4.417430304243609,1.4642615992434166e-07,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.14 seconds.",4
A,A,1,2,1,feet,-1,3,1,1.0000000000000007,4.411845747115681,9.48465928521978e-06,32,True,False,"Terminated - min grad norm reached after 32 iterations, 0.30 seconds.",4
A,B,1,2,1,feet,-1,0,1,1.0000000000000022,4.974679209156147,6.590242212379241e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.16 seconds.",4
A,B,1,2,1,feet,-1,1,-1,-0.9999999999999993,4.977334133073143,2.7324633492490904e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.20 seconds.",4
A,B,1,2,1,feet,-1,2,1,0.9999999999999976,4.972062441537363,8.368020427175444e-06,21,True,True,"Terminated - min grad norm reached after 21 iterations, 0.19 seconds.",4
A,B,1,2,1,feet,-1,3,-1,-0.9999999999999996,4.972958943004443,1.8867359507775323e-07,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.11 seconds.",4
A,F,1,2,1,tongue,-1,0,1,1.0000000000000073,3.00562624870855,6.119570266815065e-06,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.18 seconds.",4
A,F,1,2,1,tongue,-1,1,-1,-0.9999999999999966,2.999099727022887,1.5426312320428692e-06,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.16 seconds.",4
A,F,1,2,1,tongue,-1,2,1,1.0000000000000095,3.00106918148541,1.5665040108788019e-07,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.17 seconds.",4
A,F,1,2,1,tongue,-1,3,-1,-0.9999999999999954,3.0006600908524415,1.7901830245600174e-06,26,True,False,"Terminated - min grad norm reached after 26 iterations, 0.30 seconds.",4
A,A,1,2,1,tongue,-1,0,1,1.0000000000000002,3.5226926663279237,8.97838071557503e-07,24,True,True,"Terminated - min grad norm reached after 24 iterations, 0.23 seconds.",4
A,A,1,2,1,tongue,-1,1,-1,-0.9999999999999905,3.543064991251046,3.7879802422425786e-07,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.26 seconds.",4
A,A,1,2,1,tongue,-1,2,-1,-1.0000000000000053,3.551966890637049,1.6460290576691108e-06,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.15 seconds.",4
A,A,1,2,1,tongue,-1,3,1,1.0000000000000027,3.543289097847816,3.5949160257545654e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.11 seconds.",4
A,B,1,2,1,tongue,-1,0,1,0.9999999999999976,2.885071218184258,8.883007618672677e-06,31,True,False,"Terminated - min grad norm reached after 31 iterations, 0.22 seconds.",4
A,B,1,2,1,tongue,-1,1,-1,-1.0000000000000069,2.8880216266750987,1.3354313835895391e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.21 seconds.",4
A,B,1,2,1,tongue,-1,2,-1,-0.9999999999999951,2.8783732524125254,7.47993681740337e-07,26,True,True,"Terminated - min grad norm reached after 26 iterations, 0.26 seconds.",4
A,B,1,2,1,tongue,-1,3,1,0.9999999999999971,2.88519391251988,4.29790430745166e-07,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.17 seconds.",4
A,F,1,3,0,left_hand,-1,0,-1,-1.0000000000000058,0.8293665304820663,3.60439689276184e-06,26,True,False,"Terminated - min grad norm reached after 26 iterations, 0.40 seconds.",4
A,F,1,3,0,left_hand,-1,1,1,1.0000000000000009,0.8279120747595214,2.3620492149127314e-06,23,True,True,"Terminated - min grad norm reached after 23 iterations, 0.32 seconds.",4
A,F,1,3,0,left_hand,-1,2,-1,-1.0000000000000078,0.8401502936365698,1.1884951764814425e-07,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.25 seconds.",4
A,F,1,3,0,left_hand,-1,3,1,1.0000000000000053,0.8439757046692152,1.1455222077679856e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.22 seconds.",4
A,A,1,3,0,left_hand,-1,0,-1,-1.0000000000000027,0.9638230476525735,8.529912623432443e-08,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.33 seconds.",4
A,A,1,3,0,left_hand,-1,1,1,0.9999999999999993,0.9619112983066113,2.3730322565114975e-06,23,True,True,"Terminated - min grad norm reached after 23 iterations, 0.24 seconds.",4
A,A,1,3,0,left_hand,-1,2,-1,-1.0000000000000002,0.9976271430466069,1.0220440081432844e-07,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.20 seconds.",4
A,A,1,3,0,left_hand,-1,3,1,1.0000000000000042,0.9816018108478582,1.44612977809785e-06,30,True,False,"Terminated - min grad norm reached after 30 iterations, 0.31 seconds.",4
A,B,1,3,0,left_hand,-1,0,1,1.000000000000004,1.1410931956445292,2.4223374982035657e-06,31,True,False,"Terminated - min grad norm reached after 31 iterations, 0.25 seconds.",4
A,B,1,3,0,left_hand,-1,1,-1,-0.9999999999999992,1.1460950627306536,8.828509893097977e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.27 seconds.",4
A,B,1,3,0,left_hand,-1,2,1,1.0000000000000024,1.1340944362313445,4.3791206482836096e-07,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.19 seconds.",4
A,B,1,3,0,left_hand,-1,3,-1,-1.0000000000000009,1.1347383095456387,5.9468717448624225e-08,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.20 seconds.",4
A,F,1,3,0,right_hand,-1,0,1,1.000000000000001,0.7013686226262217,2.127419717435988e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.33 seconds.",4
A,F,1,3,0,right_hand,-1,1,-1,-1.0000000000000007,0.7005336003714192,1.3738467598161825e-06,14,True,True,"Terminated - min grad norm reached after 14 iterations, 0.25 seconds.",4
A,F,1,3,0,right_hand,-1,2,-1,-1.0000000000000047,0.7098230546605053,1.3760973954234035e-07,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.25 seconds.",4
A,F,1,3,0,right_hand,-1,3,1,0.9999999999999956,0.710460250102817,2.40998296755668e-07,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.27 seconds.",4
A,A,1,3,0,right_hand,-1,0,1,1.0000000000000113,1.1230403059736802,2.1054794618175813e-07,27,True,False,"Terminated - min grad norm reached after 27 iterations, 0.36 seconds.",4
A,A,1,3,0,right_hand,-1,1,-1,-1.0000000000000027,1.1234969433500361,5.728335998496605e-06,31,True,False,"Terminated - min grad norm reached after 31 iterations, 0.37 seconds.",4
A,A,1,3,0,right_hand,-1,2,-1,-0.9999999999999948,1.1137366797463315,2.1376591461729774e-06,17,True,True,"Terminated - min grad norm reached after 17 iterations, 0.20 seconds.",4
A,A,1,3,0,right_hand,-1,3,1,1.000000000000004,1.1327743057866182,1.8388430693537936e-07,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.27 seconds.",4
A,B,1,3,0,right_hand,-1,0,-1,-1.0000000000000078,1.0017100328151773,4.559119421163616e-07,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.31 seconds.",4
A,B,1,3,0,right_hand,-1,1,1,1.0000000000000018,1.0037265594238212,8.41275229224298e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.25 seconds.",4
A,B,1,3,0,right_hand,-1,2,-1,-0.9999999999999959,1.0203718776881359,5.528790981742845e-06,28,True,False,"Terminated - min grad norm reached after 28 iterations, 0.34 seconds.",4
A,B,1,3,0,right_hand,-1,3,1,0.9999999999999968,1.0010330730482733,5.694436503823373e-06,21,True,True,"Terminated - min grad norm reached after 21 iterations, 0.15 seconds.",4
A,F,1,3,0,feet,-1,0,-1,-0.9999999999999953,0.8089614809828756,1.1272302845079779e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.16 seconds.",4
A,F,1,3,0,feet,-1,1,1,1.000000000000009,0.7814888553929513,3.7474590666222877e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.17 seconds.",4
A,F,1,3,0,feet,-1,2,-1,-1.0000000000000042,0.7687439494901842,2.391956015744133e-07,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.27 seconds.",4
A,F,1,3,0,feet,-1,3,1,1.0000000000000018,0.767874597360569,1.5749576946767217e-06,18,True,True,"Terminated - min grad norm reached after 18 iterations, 0.23 seconds.",4
A,A,1,3,0,feet,-1,0,-1,-0.9999999999999994,1.1489629555582936,9.818941095424904e-08,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.21 seconds.",4
A,A,1,3,0,feet,-1,1,1,1.0000000000000044,1.1465524958136242,3.4711719098724604e-06,25,True,True,"Terminated - min grad norm reached after 25 iterations, 0.24 seconds.",4
A,A,1,3,0,feet,-1,2,1,0.9999999999999938,1.1589643232829339,5.108298254581185e-06,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.24 seconds.",4
A,A,1,3,0,feet,-1,3,-1,-0.9999999999999976,1.160108370045591,1.184657827377642e-06,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.28 seconds.",4
A,B,1,3,0,feet,-1,0,-1,-1.000000000000003,1.1667760065393913,3.2839458959237206e-08,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.23 seconds.",4
A,B,1,3,0,feet,-1,1,1,1.0000000000000118,1.170229771827144,6.898917393670793e-08,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.17 seconds.",4
A,B,1,3,0,feet,-1,2,1,1.0000000000000078,1.1363363936360935,2.9167006759992834e-07,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.23 seconds.",4
A,B,1,3,0,feet,-1,3,-1,-0.9999999999999961,1.1271105042837724,2.521174942446793e-06,25,True,True,"Terminated - min grad norm reached after 25 iterations, 0.27 seconds.",4
A,F,1,3,0,tongue,-1,0,-1,-0.9999999999999988,0.8199586239591513,1.5719563687823898e-06,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.21 seconds.",4
A,F,1,3,0,tongue,-1,1,1,1.0000000000000024,0.8162036394515001,6.529744712787595e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.16 seconds.",4
A,F,1,3,0,tongue,-1,2,-1,-0.9999999999999916,0.8131175869478753,1.709756949660262e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.19 seconds.",4
A,F,1,3,0,tongue,-1,3,1,0.9999999999999986,0.8112682017993549,9.60482472758789e-07,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.19 seconds.",4
A,A,1,3,0,tongue,-1,0,1,1.0000000000000135,1.075783587291602,3.4261068010469625e-08,22,True,True,"Terminated - min grad norm reached after 22 iterations, 0.26 seconds.",4
A,A,1,3,0,tongue,-1,1,-1,-1.0000000000000013,1.0776494540946506,9.324441596354575e-07,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.22 seconds.",4
A,A,1,3,0,tongue,-1,2,-1,-1.0000000000000047,1.1035301004918951,1.2775792168409545e-06,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.18 seconds.",4
A,A,1,3,0,tongue,-1,3,1,1.0000000000000044,1.099581609003066,3.683148231564019e-08,23,True,False,"Terminated - min grad norm reached after 23 iterations, 0.18 seconds.",4
A,B,1,3,0,tongue,-1,0,1,1.0000000000000056,0.9891009152107255,2.8998725990303553e-06,15,True,False,"Terminated - min grad norm reached after 15 iterations, 0.16 seconds.",4
A,B,1,3,0,tongue,-1,1,-1,-1.000000000000002,0.9905135125634023,9.889829957966002e-06,51,True,False,"Terminated - min grad norm reached after 51 iterations, 0.45 seconds.",4
A,B,1,3,0,tongue,-1,2,-1,-0.9999999999999927,0.9732748236049242,2.2482764486557228e-06,17,True,True,"Terminated - min grad norm reached after 17 iterations, 0.18 seconds.",4
A,B,1,3,0,tongue,-1,3,1,1.000000000000005,0.9756587240058524,2.5162297850694247e-07,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.20 seconds.",4
A,F,1,3,1,left_hand,-1,0,1,1.000000000000003,0.7844842719356614,7.252513628050723e-08,27,True,False,"Terminated - min grad norm reached after 27 iterations, 0.35 seconds.",4
A,F,1,3,1,left_hand,-1,1,-1,-1.0000000000000038,0.7860418822135377,8.503292570630086e-07,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.31 seconds.",4
A,F,1,3,1,left_hand,-1,2,-1,-1.0000000000000024,0.7778792208960126,3.929207526184055e-06,34,True,True,"Terminated - min grad norm reached after 34 iterations, 0.60 seconds.",4
A,F,1,3,1,left_hand,-1,3,1,1.0000000000000038,0.7889284045979581,2.7468626779884746e-07,15,True,False,"Terminated - min grad norm reached after 15 iterations, 0.19 seconds.",4
A,A,1,3,1,left_hand,-1,0,-1,-1.0000000000000027,0.8943353963595291,8.68411126843131e-08,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.17 seconds.",4
A,A,1,3,1,left_hand,-1,1,1,1.0000000000000033,0.9013410913251305,1.800039840886586e-08,17,True,False,"Terminated - min grad norm reached after 17 iterations, 0.17 seconds.",4
A,A,1,3,1,left_hand,-1,2,1,1.0000000000000062,0.928045310170801,7.301746912596369e-07,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.19 seconds.",4
A,A,1,3,1,left_hand,-1,3,-1,-0.9999999999999982,0.9092716138969826,4.546571459124082e-09,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.30 seconds.",4
A,B,1,3,1,left_hand,-1,0,-1,-0.9999999999999996,1.1449682131922874,3.534279084453054e-07,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.24 seconds.",4
