geometry,template,object,signature,stage,replicate_index,group_statistic
AIRM,session_specific,Z,sensor,C,70,-0.065011111945336306
AIRM,session_specific,Z,sensor,C,71,0.1102324812842507
AIRM,session_specific,Z,sensor,C,72,-0.018421617168890899
AIRM,session_specific,Z,sensor,C,73,-0.020469321058073201
AIRM,session_specific,Z,sensor,C,74,0.0873315290398885
AIRM,session_specific,Z,sensor,C,75,0.052681804616305498
AIRM,session_specific,Z,sensor,C,76,0.014109459610696999
AIRM,session_specific,Z,sensor,C,77,0.014146720002176601
AIRM,session_specific,Z,sensor,C,78,0.0252229661696141
AIRM,session_specific,Z,sensor,C,79,-0.0097663039964535001
AIRM,session_specific,Z,sensor,C,80,0.064451994810646299
AIRM,session_specific,Z,sensor,C,81,0.031514978663418902
AIRM,session_specific,Z,sensor,C,82,0.048085938964270297
AIRM,session_specific,Z,sensor,C,83,0.084077329070624499
AIRM,session_specific,Z,sensor,C,84,0.1121686619857153
AIRM,session_specific,Z,sensor,C,85,0.021019751920338899
AIRM,session_specific,Z,sensor,C,86,0.021790703477807299
AIRM,session_specific,Z,sensor,C,87,-0.11595917476172481
AIRM,session_specific,Z,sensor,C,88,-0.041600849995550103
AIRM,session_specific,Z,sensor,C,89,-0.039480078278073302
AIRM,session_specific,Z,sensor,C,90,0.0097811289920341007
AIRM,session_specific,Z,sensor,C,91,-0.049825833409677903
AIRM,session_specific,Z,sensor,C,92,-0.046869622629808601
AIRM,session_specific,Z,sensor,C,93,-0.093482988408500695
AIRM,session_specific,Z,sensor,C,94,0.040224071504936197
AIRM,session_specific,Z,sensor,C,95,-0.0081081546624738998
AIRM,session_specific,Z,sensor,C,96,0.057118470290865898
AIRM,session_specific,Z,sensor,C,97,-0.027688151025170301
AIRM,session_specific,Z,sensor,C,98,0.022990312933292199
AIRM,session_specific,Z,sensor,C,99,-0.023135801790983401
AIRM,session_specific,Z,sensor,C,100,0.021111942210746099
AIRM,session_specific,Z,sensor,C,101,-0.093585489158028695
AIRM,session_specific,Z,sensor,C,102,0.029363690029166001
AIRM,session_specific,Z,sensor,C,103,0.081814349638945502
AIRM,session_specific,Z,sensor,C,104,-0.024962762212327301
AIRM,session_specific,Z,sensor,C,105,0.080791410174444606
AIRM,session_specific,Z,sensor,C,106,-0.0069942348512039999
AIRM,session_specific,Z,sensor,C,107,-0.061392019618142897
AIRM,session_specific,Z,sensor,C,108,0.1481040238888259
AIRM,session_specific,Z,sensor,C,109,0.024782282721217599
AIRM,session_specific,Z,sensor,C,110,0.0069282881712800001
AIRM,session_specific,Z,sensor,C,111,0.0243678253874961
AIRM,session_specific,Z,sensor,C,112,-0.059387176169634001
AIRM,session_specific,Z,sensor,C,113,-0.0561369437373168
AIRM,session_specific,Z,sensor,C,114,-0.012227149135847999
AIRM,session_specific,Z,sensor,C,115,-0.010471341772363099
AIRM,session_specific,Z,sensor,C,116,-0.042359998163078103
AIRM,session_specific,Z,sensor,C,117,0.0125720504578584
AIRM,session_specific,Z,sensor,C,118,-0.069467605957801895
AIRM,session_specific,Z,sensor,C,119,0.019285738100461899
AIRM,session_specific,Z,sensor,C,120,-0.075913049322669096
AIRM,session_specific,Z,sensor,C,121,-0.037054089436338103
AIRM,session_specific,Z,sensor,C,122,-0.014277807698975201
AIRM,session_specific,Z,sensor,C,123,-0.037001735088621299
AIRM,session_specific,Z,sensor,C,124,-0.022388747026588701
AIRM,session_specific,Z,sensor,C,125,0.0050432050707482001
AIRM,session_specific,Z,sensor,C,126,-0.019070396545644901
AIRM,session_specific,Z,sensor,C,127,-0.0034694309089023999
AIRM,session_specific,Z,sensor,C,128,-0.020682599059571798
AIRM,session_specific,Z,sensor,C,129,-0.0395951051934701
AIRM,session_specific,Z,sensor,C,130,-0.029457498615709499
AIRM,session_specific,Z,sensor,C,131,0.024059754537948098
AIRM,session_specific,Z,sensor,C,132,0.064997644646667393
AIRM,session_specific,Z,sensor,C,133,0.0025421993230421002
AIRM,session_specific,Z,sensor,C,134,0.012999101497192999
AIRM,session_specific,Z,sensor,C,135,-0.029814745737650802
AIRM,session_specific,Z,sensor,C,136,0.033576109502786902
AIRM,session_specific,Z,sensor,C,137,0.038314985550374901
AIRM,session_specific,Z,sensor,C,138,0.0611793963333453
AIRM,session_specific,Z,sensor,C,139,-0.054167289893426798
AIRM,session_specific,Z,sensor,C,140,-0.0234950293754594
AIRM,session_specific,Z,sensor,C,141,0.0257339116115371
AIRM,session_specific,Z,sensor,C,142,0.019156595154934002
AIRM,session_specific,Z,sensor,C,143,-0.0040864090483343002
AIRM,session_specific,Z,sensor,C,144,0.0404614345095912
AIRM,session_specific,Z,sensor,C,145,-0.014903777027105601
AIRM,session_specific,Z,sensor,C,146,-0.070203560048149899
AIRM,session_specific,Z,sensor,C,147,-0.0191651736605273
AIRM,session_specific,Z,sensor,C,148,0.00084338154714339996
AIRM,session_specific,Z,sensor,C,149,0.0060380117606328
AIRM,session_specific,Z,sensor,C,150,0.063122578608760402
AIRM,session_specific,Z,sensor,C,151,-0.0036424706637407998
AIRM,session_specific,Z,sensor,C,152,-0.0026784640737663001
AIRM,session_specific,Z,sensor,C,153,-0.069304432079572598
AIRM,session_specific,Z,sensor,C,154,0.036796376406817301
AIRM,session_specific,Z,sensor,C,155,-0.0141542037753093
AIRM,session_specific,Z,sensor,C,156,-0.038098440822852603
AIRM,session_specific,Z,sensor,C,157,0.0616442923813161
AIRM,session_specific,Z,sensor,C,158,-0.0089957201029269001
AIRM,session_specific,Z,sensor,C,159,0.10013034573180669
AIRM,session_specific,Z,sensor,C,160,-0.012349748657410699
AIRM,session_specific,Z,sensor,C,161,0.040033468452485801
AIRM,session_specific,Z,sensor,C,162,0.067307896029580302
AIRM,session_specific,Z,sensor,C,163,-0.10962235711418281
AIRM,session_specific,Z,sensor,C,164,0.1084183113650166
AIRM,session_specific,Z,sensor,C,165,-0.050469856003598303
AIRM,session_specific,Z,sensor,C,166,0.025060993110623001
AIRM,session_specific,Z,sensor,C,167,0.10581595428252361
AIRM,session_specific,Z,sensor,C,168,0.10521417690300069
AIRM,session_specific,Z,sensor,C,169,0.0100694456115947
AIRM,session_specific,Z,sensor,C,170,-0.010413405728292101
AIRM,session_specific,Z,sensor,C,171,-0.045865656946806298
AIRM,session_specific,Z,sensor,C,172,0.022960464812603401
AIRM,session_specific,Z,sensor,C,173,0.021623200442401701
AIRM,session_specific,Z,sensor,C,174,0.074939481125224597
AIRM,session_specific,Z,sensor,C,175,0.038366401653916998
AIRM,session_specific,Z,sensor,C,176,-0.036881904827218301
AIRM,session_specific,Z,sensor,C,177,0.0012504223401094
AIRM,session_specific,Z,sensor,C,178,-0.0053380207195924999
AIRM,session_specific,Z,sensor,C,179,0.044684180576785699
AIRM,session_specific,Z,sensor,C,180,0.0043734931269055
AIRM,session_specific,Z,sensor,C,181,-0.050892401694647302
AIRM,session_specific,Z,sensor,C,182,0.026307784487131201
AIRM,session_specific,Z,sensor,C,183,-0.0417302953119515
AIRM,session_specific,Z,sensor,C,184,-0.016080201692939101
AIRM,session_specific,Z,sensor,C,185,0.0125973888578002
AIRM,session_specific,Z,sensor,C,186,0.049847952778023299
AIRM,session_specific,Z,sensor,C,187,0.052259043226564501
AIRM,session_specific,Z,sensor,C,188,-0.016557128047705899
AIRM,session_specific,Z,sensor,C,189,0.0101569599993533
AIRM,session_specific,Z,sensor,C,190,-0.0048127725366957997
AIRM,session_specific,Z,sensor,C,191,0.021562630654311399
AIRM,session_specific,Z,sensor,C,192,-0.096922531617230495
AIRM,session_specific,Z,sensor,C,193,0.027485286189701301
AIRM,session_specific,Z,sensor,C,194,-0.030104348503847401
AIRM,session_specific,Z,sensor,C,195,0.020496002558992001
AIRM,session_specific,Z,sensor,C,196,-0.1186822776745704
AIRM,session_specific,Z,sensor,C,197,0.024023052882210499
AIRM,session_specific,Z,sensor,C,198,0.0275627894963098
AIRM,session_specific,Z,sensor,C,199,-0.0058866896274086004
AIRM,session_specific,Z,sensor,C,200,0.072635558058746205
AIRM,session_specific,Z,sensor,C,201,0.062715640643127499
AIRM,session_specific,Z,sensor,C,202,0.038489900857051999
AIRM,session_specific,Z,sensor,C,203,-0.079071186357094897
AIRM,session_specific,Z,sensor,C,204,0.0103575960039511
AIRM,session_specific,Z,sensor,C,205,0.032472380118284599
AIRM,session_specific,Z,sensor,C,206,-0.018500976105853901
AIRM,session_specific,Z,sensor,C,207,0.064286719171370396
AIRM,session_specific,Z,sensor,C,208,-0.0156726485772779
AIRM,session_specific,Z,sensor,C,209,-0.049063769904232599
AIRM,session_specific,Z,sensor,C,210,0.10602547324850101
AIRM,session_specific,Z,sensor,C,211,0.00050807186284670004
AIRM,session_specific,Z,sensor,C,212,-0.040823839681351899
AIRM,session_specific,Z,sensor,C,213,-0.0190758061856422
AIRM,session_specific,Z,sensor,C,214,0.097388008738033993
AIRM,session_specific,Z,sensor,C,215,-0.020814251020734201
AIRM,session_specific,Z,sensor,C,216,0.042372455567799998
AIRM,session_specific,Z,sensor,C,217,0.048396302403851697
AIRM,session_specific,Z,sensor,C,218,-0.0014984221188306
AIRM,session_specific,Z,sensor,C,219,0.0226019251755556
AIRM,session_specific,Z,sensor,C,220,0.019445405891685402
AIRM,session_specific,Z,sensor,C,221,-0.0428182921067434
AIRM,session_specific,Z,sensor,C,222,0.022025388442752598
AIRM,session_specific,Z,sensor,C,223,-0.032668790697398101
AIRM,session_specific,Z,sensor,C,224,0.078839784173659902
AIRM,session_specific,Z,sensor,C,225,0.046522885863560903
AIRM,session_specific,Z,sensor,C,226,0.052746709908713198
AIRM,session_specific,Z,sensor,C,227,0.00072355786819030003
AIRM,session_specific,Z,sensor,C,228,-0.017197446698228501
AIRM,session_specific,Z,sensor,C,229,-0.0047990733013659002
AIRM,session_specific,Z,sensor,C,230,0.041815688838237601
AIRM,session_specific,Z,sensor,C,231,-0.0455320336357984
AIRM,session_specific,Z,sensor,C,232,0.041498578919911898
AIRM,session_specific,Z,sensor,C,233,0.0350506684461886
AIRM,session_specific,Z,sensor,C,234,-0.051847268535596999
AIRM,session_specific,Z,sensor,C,235,-0.046342343414178797
AIRM,session_specific,Z,sensor,C,236,0.064511569611460901
AIRM,session_specific,Z,sensor,C,237,-0.014523639285123799
AIRM,session_specific,Z,sensor,C,238,0.079746057695627703
AIRM,session_specific,Z,sensor,C,239,-0.059063079651693801
AIRM,session_specific,Z,sensor,C,240,0.0429813961877515
AIRM,session_specific,Z,sensor,C,241,0.0577810109687934
AIRM,session_specific,Z,sensor,C,242,-0.029241755230886599
AIRM,session_specific,Z,sensor,C,243,0.0143683842348432
AIRM,session_specific,Z,sensor,C,244,-0.070268710353000405
AIRM,session_specific,Z,sensor,C,245,0.055468432704821602
AIRM,session_specific,Z,sensor,C,246,0.1117688664006054
AIRM,session_specific,Z,sensor,C,247,-0.030399407178559799
AIRM,session_specific,Z,sensor,C,248,-0.015223865319585399
AIRM,session_specific,Z,sensor,C,249,-0.065937098974705094
AIRM,session_specific,Z,sensor,C,250,-0.0302149981003179
AIRM,session_specific,Z,sensor,C,251,-0.0216009041428647
AIRM,session_specific,Z,sensor,C,252,-0.0068363619359773
AIRM,session_specific,Z,sensor,C,253,-0.076346340624762102
AIRM,session_specific,Z,sensor,C,254,-0.092967935496842999
AIRM,session_specific,Z,sensor,C,255,-0.010016390745343899
AIRM,session_specific,Z,sensor,C,256,-0.031617134584964401
AIRM,session_specific,Z,sensor,C,257,-0.015615899011716901
AIRM,session_specific,Z,sensor,C,258,-0.083883631744478604
AIRM,session_specific,Z,sensor,C,259,-0.083235850764182495
AIRM,session_specific,Z,sensor,C,260,-0.061343515076038302
AIRM,session_specific,Z,sensor,C,261,0.023253280304785701
AIRM,session_specific,Z,sensor,C,262,-0.060330943744401302
AIRM,session_specific,Z,sensor,C,263,-0.065448038242744602
AIRM,session_specific,Z,sensor,C,264,-0.036287818998648899
AIRM,session_specific,Z,sensor,C,265,-0.034370551290183099
AIRM,session_specific,Z,sensor,C,266,0.0020663343783309
AIRM,session_specific,Z,sensor,C,267,0.075519381260579693
AIRM,session_specific,Z,sensor,C,268,0.0032475438011467001
AIRM,session_specific,Z,sensor,C,269,0.040519024528466098
AIRM,session_specific,Z,sensor,C,270,0.068134987222886606
AIRM,session_specific,Z,sensor,C,271,0.0187791684550856
AIRM,session_specific,Z,sensor,C,272,-0.10633824592904351
AIRM,session_specific,Z,sensor,C,273,-0.0064588067051887001
AIRM,session_specific,Z,sensor,C,274,0.032642017927637101
AIRM,session_specific,Z,sensor,C,275,0.053958955582267799
AIRM,session_specific,Z,sensor,C,276,-0.040240301991437001
AIRM,session_specific,Z,sensor,C,277,-0.019472692374768601
AIRM,session_specific,Z,sensor,C,278,0.020500489642380298
AIRM,session_specific,Z,sensor,C,279,0.0586900366669088
AIRM,session_specific,Z,sensor,C,280,0.023885762253204199
AIRM,session_specific,Z,sensor,C,281,-0.050705809883857797
AIRM,session_specific,Z,sensor,C,282,-0.0018420958396334001
AIRM,session_specific,Z,sensor,C,283,0.020412802027039999
AIRM,session_specific,Z,sensor,C,284,-0.048496557968434502
AIRM,session_specific,Z,sensor,C,285,-0.0032772229535491999
AIRM,session_specific,Z,sensor,C,286,-0.0120404188197778
AIRM,session_specific,Z,sensor,C,287,-0.035170280674474398
AIRM,session_specific,Z,sensor,C,288,-0.0246562589032908
AIRM,session_specific,Z,sensor,C,289,-0.066786408300254896
AIRM,session_specific,Z,sensor,C,290,-0.095409392156041301
AIRM,session_specific,Z,sensor,C,291,-0.0079260936365737004
AIRM,session_specific,Z,sensor,C,292,0.0021491779323952001
AIRM,session_specific,Z,sensor,C,293,0.013252882597361
AIRM,session_specific,Z,sensor,C,294,-0.1283037002642935
AIRM,session_specific,Z,sensor,C,295,0.017356617872506599
AIRM,session_specific,Z,sensor,C,296,-0.0780124064774355
AIRM,session_specific,Z,sensor,C,297,-0.045497059246169001
AIRM,session_specific,Z,sensor,C,298,-0.062375232996131701
AIRM,session_specific,Z,sensor,C,299,-0.022217841025491999
AIRM,session_specific,Z,sensor,C,300,-0.081441803031108304
AIRM,session_specific,Z,sensor,C,301,-0.058854721462658598
AIRM,session_specific,Z,sensor,C,302,-0.0040966693932992003
AIRM,session_specific,Z,sensor,C,303,0.078791142338982795
AIRM,session_specific,Z,sensor,C,304,0.052530699387830199
AIRM,session_specific,Z,sensor,C,305,0.0004871406008447
AIRM,session_specific,Z,sensor,C,306,-0.058685840029965401
AIRM,session_specific,Z,sensor,C,307,-0.066873715200716194
AIRM,session_specific,Z,sensor,C,308,-0.016917573223788299
AIRM,session_specific,Z,sensor,C,309,-0.0272600063067212
AIRM,session_specific,Z,sensor,C,310,0.0029267630506228
AIRM,session_specific,Z,sensor,C,311,-0.0137204358973407
AIRM,session_specific,Z,sensor,C,312,0.079673621639943903
AIRM,session_specific,Z,sensor,C,313,0.040645367338030897
AIRM,session_specific,Z,sensor,C,314,0.0594911088102935
AIRM,session_specific,Z,sensor,C,315,-0.057900524685688001
AIRM,session_specific,Z,sensor,C,316,0.064182408042685005
AIRM,session_specific,Z,sensor,C,317,0.013398558198383001
AIRM,session_specific,Z,sensor,C,318,-0.023230045611755099
AIRM,session_specific,Z,sensor,C,319,-0.030230413965019999
AIRM,session_specific,Z,sensor,C,320,0.019233818069339
AIRM,session_specific,Z,sensor,C,321,0.12145217059857059
AIRM,session_specific,Z,sensor,C,322,0.089407840739050601
AIRM,session_specific,Z,sensor,C,323,-0.016003731099107101
AIRM,session_specific,Z,sensor,C,324,-0.0451017370086641
AIRM,session_specific,Z,sensor,C,325,0.068607629005174697
AIRM,session_specific,Z,sensor,C,326,0.0051417180126283003
AIRM,session_specific,Z,sensor,C,327,0.034200032139768903
AIRM,session_specific,Z,sensor,C,328,0.088461750187779395
AIRM,session_specific,Z,sensor,C,329,-0.061234476705794703
AIRM,session_specific,Z,sensor,C,330,0.087272619273207397
AIRM,session_specific,Z,sensor,C,331,0.037724312941497397
AIRM,session_specific,Z,sensor,C,332,0.0110867284170236
AIRM,session_specific,Z,sensor,C,333,-0.036461359222171301
AIRM,session_specific,Z,sensor,C,334,0.019187039748890699
AIRM,session_specific,Z,sensor,C,335,-0.019484204190507001
AIRM,session_specific,Z,sensor,C,336,-0.061206067429122497
AIRM,session_specific,Z,sensor,C,337,-0.027055956783602599
AIRM,session_specific,Z,sensor,C,338,0.017861765769032999
AIRM,session_specific,Z,sensor,C,339,0.094874562770535006
AIRM,session_specific,Z,sensor,C,340,-0.065268670578306501
AIRM,session_specific,Z,sensor,C,341,0.058994580435176101
AIRM,session_specific,Z,sensor,C,342,-0.011074293078975899
AIRM,session_specific,Z,sensor,C,343,-0.078103290391031296
AIRM,session_specific,Z,sensor,C,344,-0.1172070841057718
AIRM,session_specific,Z,sensor,C,345,0.043288940077130397
AIRM,session_specific,Z,sensor,C,346,0.1232372099081855
AIRM,session_specific,Z,sensor,C,347,-0.014293206780974401
AIRM,session_specific,Z,sensor,C,348,0.0494849158635563
AIRM,session_specific,Z,sensor,C,349,-0.048764492937740898
AIRM,session_specific,Z,sensor,C,350,-0.0502291315488766
AIRM,session_specific,Z,sensor,C,351,-0.021387277639414299
AIRM,session_specific,Z,sensor,C,352,-0.0019315795046408999
AIRM,session_specific,Z,sensor,C,353,0.020142702283070201
AIRM,session_specific,Z,sensor,C,354,0.036074694179552898
AIRM,session_specific,Z,sensor,C,355,-0.059827195890559799
AIRM,session_specific,Z,sensor,C,356,0.053716402625177302
AIRM,session_specific,Z,sensor,C,357,-0.0135873894812593
AIRM,session_specific,Z,sensor,C,358,0.0739238897995491
AIRM,session_specific,Z,sensor,C,359,0.12244184900287219
AIRM,session_specific,Z,sensor,C,360,-0.069092086262547606
AIRM,session_specific,Z,sensor,C,361,0.017901570760238
AIRM,session_specific,Z,sensor,C,362,0.0032980304576797998
AIRM,session_specific,Z,sensor,C,363,-0.031451874966591999
AIRM,session_specific,Z,sensor,C,364,-0.10267955205826509
AIRM,session_specific,Z,sensor,C,365,-0.054156861251203899
AIRM,session_specific,Z,sensor,C,366,0.12330607933321271
AIRM,session_specific,Z,sensor,C,367,-0.057526132488365397
AIRM,session_specific,Z,sensor,C,368,0.0783118508922485
AIRM,session_specific,Z,sensor,C,369,0.083657578762444396
AIRM,session_specific,Z,sensor,C,370,0.079322163977351604
AIRM,session_specific,Z,sensor,C,371,-0.017491834138898099
AIRM,session_specific,Z,sensor,C,372,-0.0197679108085092
AIRM,session_specific,Z,sensor,C,373,0.042747373549841101
AIRM,session_specific,Z,sensor,C,374,0.0224356465077779
AIRM,session_specific,Z,sensor,C,375,-0.0292607522663893
AIRM,session_specific,Z,sensor,C,376,0.045726164073679403
AIRM,session_specific,Z,sensor,C,377,0.088531072702751804
AIRM,session_specific,Z,sensor,C,378,0.077309320154180905
AIRM,session_specific,Z,sensor,C,379,-0.085262143938742499
AIRM,session_specific,Z,sensor,C,380,-0.0055751737608575004
AIRM,session_specific,Z,sensor,C,381,-0.0180584756639421
AIRM,session_specific,Z,sensor,C,382,-0.075897398989346096
AIRM,session_specific,Z,sensor,C,383,0.031310302309284103
AIRM,session_specific,Z,sensor,C,384,-0.067098930713636304
AIRM,session_specific,Z,sensor,C,385,0.095646499823214395
AIRM,session_specific,Z,sensor,C,386,-0.079423232891396203
AIRM,session_specific,Z,sensor,C,387,-0.070430016002584001
AIRM,session_specific,Z,sensor,C,388,0.047759793104248202
AIRM,session_specific,Z,sensor,C,389,0.10171906317170359
AIRM,session_specific,Z,sensor,C,390,-0.0521062597013187
AIRM,session_specific,Z,sensor,C,391,0.12041222607008779
AIRM,session_specific,Z,sensor,C,392,-0.073045448020118905
AIRM,session_specific,Z,sensor,C,393,-0.052487421459499799
AIRM,session_specific,Z,sensor,C,394,-0.0106106442025735
AIRM,session_specific,Z,sensor,C,395,-0.14023501178225731
AIRM,session_specific,Z,sensor,C,396,-0.086095173381990506
AIRM,session_specific,Z,sensor,C,397,-0.064305644261045805
AIRM,session_specific,Z,sensor,C,398,-0.0027559320460981002
AIRM,session_specific,Z,sensor,C,399,-0.078573984233938493
AIRM,session_specific,Z,sensor,C,400,0.070211047159517204
AIRM,session_specific,Z,sensor,C,401,-0.031409600485606801
AIRM,session_specific,Z,sensor,C,402,0.037194394758155502
AIRM,session_specific,Z,sensor,C,403,-0.0128363665944492
AIRM,session_specific,Z,sensor,C,404,-0.0078585692792307003
AIRM,session_specific,Z,sensor,C,405,-0.012990764222666099
AIRM,session_specific,Z,sensor,C,406,0.0317820043524943
AIRM,session_specific,Z,sensor,C,407,0.0493825933796046
AIRM,session_specific,Z,sensor,C,408,0.020831772027819901
AIRM,session_specific,Z,sensor,C,409,0.0564458367413413
AIRM,session_specific,Z,sensor,C,410,0.0137345529144405
AIRM,session_specific,Z,sensor,C,411,0.12570669169234111
AIRM,session_specific,Z,sensor,C,412,0.053487664013773098
AIRM,session_specific,Z,sensor,C,413,-0.033032568547967898
AIRM,session_specific,Z,sensor,C,414,-0.020779657452757401
AIRM,session_specific,Z,sensor,C,415,0.0516758379712597
AIRM,session_specific,Z,sensor,C,416,-0.0032040366019954001
AIRM,session_specific,Z,sensor,C,417,0.050101299585335497
AIRM,session_specific,Z,sensor,C,418,0.065950296803060401
AIRM,session_specific,Z,sensor,C,419,0.017796042696565099
AIRM,session_specific,Z,sensor,C,420,0.0263190001023366
AIRM,session_specific,Z,sensor,C,421,-0.010760606540170701
AIRM,session_specific,Z,sensor,C,422,-0.0021900359679856
AIRM,session_specific,Z,sensor,C,423,-0.0766372221509692
AIRM,session_specific,Z,sensor,C,424,-0.057552265392815702
AIRM,session_specific,Z,sensor,C,425,0.051884917088481301
AIRM,session_specific,Z,sensor,C,426,0.050626053454087903
AIRM,session_specific,Z,sensor,C,427,-0.030519357677582799
AIRM,session_specific,Z,sensor,C,428,-0.105004016597563
AIRM,session_specific,Z,sensor,C,429,0.050192089089937303
AIRM,session_specific,Z,sensor,C,430,0.033533429368454201
AIRM,session_specific,Z,sensor,C,431,0.016741962184152501
AIRM,session_specific,Z,sensor,C,432,-0.055008667343439697
AIRM,session_specific,Z,sensor,C,433,-0.077439192105568905
AIRM,session_specific,Z,sensor,C,434,0.047725098030179498
AIRM,session_specific,Z,sensor,C,435,0.073118393596892206
AIRM,session_specific,Z,sensor,C,436,0.0014841099441395
AIRM,session_specific,Z,sensor,C,437,-0.017485362022895499
AIRM,session_specific,Z,sensor,C,438,-0.035102141997727501
AIRM,session_specific,Z,sensor,C,439,-0.0075093860884943003
AIRM,session_specific,Z,sensor,C,440,-0.014069573423079599
AIRM,session_specific,Z,sensor,C,441,0.064303525266531797
AIRM,session_specific,Z,sensor,C,442,-0.0326199755420091
AIRM,session_specific,Z,sensor,C,443,0.1123992608477633
AIRM,session_specific,Z,sensor,C,444,-0.051500022308891898
AIRM,session_specific,Z,sensor,C,445,-0.0048616866413710999
AIRM,session_specific,Z,sensor,C,446,0.0034710920105084
AIRM,session_specific,Z,sensor,C,447,-0.082392247379015293
AIRM,session_specific,Z,sensor,C,448,-0.062736232795475799
AIRM,session_specific,Z,sensor,C,449,0.0043205751040443999
AIRM,session_specific,Z,sensor,C,450,0.0647227932731997
AIRM,session_specific,Z,sensor,C,451,0.046783808927016501
AIRM,session_specific,Z,sensor,C,452,-0.039162330875414299
AIRM,session_specific,Z,sensor,C,453,-0.046355260174763498
AIRM,session_specific,Z,sensor,C,454,-0.1328594657694846
AIRM,session_specific,Z,sensor,C,455,0.053891619251765603
