sample_index,subject,session,run,class_label,event_code,event_sample,trial_start_sample,trial_start_time_seconds,cue_sample,cue_time_seconds,annotation_duration_seconds,available_precue_samples_from_trial_start,available_postcue_samples_to_run_end,baseline_start_sample,baseline_stop_sample,post_start_sample,post_stop_sample,baseline_samples,post_samples,local_samples,sfreq,run_n_times,run_first_samp,trial_id,run_trial_id,trial_uid
24,1,0train,0,left_hand,1,48164,48164,192.656,48664,194.656,4.0,500,48071,48414,48664,48664,49664,250,1000,200,250.0,96735,0,25,25,S01_0train_T025
25,1,0train,0,tongue,4,50125,50125,200.5,50625,202.5,4.0,500,46110,50375,50625,50625,51625,250,1000,200,250.0,96735,0,26,26,S01_0train_T026
26,1,0train,0,tongue,4,52229,52229,208.916,52729,210.916,4.0,500,44006,52479,52729,52729,53729,250,1000,200,250.0,96735,0,27,27,S01_0train_T027
27,1,0train,0,right_hand,2,54233,54233,216.932,54733,218.932,4.0,500,42002,54483,54733,54733,55733,250,1000,200,250.0,96735,0,28,28,S01_0train_T028
28,1,0train,0,tongue,4,56208,56208,224.832,56708,226.832,4.0,500,40027,56458,56708,56708,57708,250,1000,200,250.0,96735,0,29,29,S01_0train_T029
29,1,0train,0,tongue,4,58234,58234,232.936,58734,234.936,4.0,500,38001,58484,58734,58734,59734,250,1000,200,250.0,96735,0,30,30,S01_0train_T030
30,1,0train,0,right_hand,2,60305,60305,241.22,60805,243.22,4.0,500,35930,60555,60805,60805,61805,250,1000,200,250.0,96735,0,31,31,S01_0train_T031
31,1,0train,0,left_hand,1,62412,62412,249.648,62912,251.648,4.0,500,33823,62662,62912,62912,63912,250,1000,200,250.0,96735,0,32,32,S01_0train_T032
32,1,0train,0,right_hand,2,64504,64504,258.016,65004,260.016,4.0,500,31731,64754,65004,65004,66004,250,1000,200,250.0,96735,0,33,33,S01_0train_T033
33,1,0train,0,feet,3,66595,66595,266.38,67095,268.38,4.0,500,29640,66845,67095,67095,68095,250,1000,200,250.0,96735,0,34,34,S01_0train_T034
34,1,0train,0,feet,3,68638,68638,274.552,69138,276.552,4.0,500,27597,68888,69138,69138,70138,250,1000,200,250.0,96735,0,35,35,S01_0train_T035
35,1,0train,0,feet,3,70702,70702,282.808,71202,284.808,4.0,500,25533,70952,71202,71202,72202,250,1000,200,250.0,96735,0,36,36,S01_0train_T036
36,1,0train,0,tongue,4,72722,72722,290.888,73222,292.888,4.0,500,23513,72972,73222,73222,74222,250,1000,200,250.0,96735,0,37,37,S01_0train_T037
37,1,0train,0,feet,3,74694,74694,298.776,75194,300.776,4.0,500,21541,74944,75194,75194,76194,250,1000,200,250.0,96735,0,38,38,S01_0train_T038
38,1,0train,0,left_hand,1,76657,76657,306.628,77157,308.628,4.0,500,19578,76907,77157,77157,78157,250,1000,200,250.0,96735,0,39,39,S01_0train_T039
39,1,0train,0,tongue,4,78582,78582,314.328,79082,316.328,4.0,500,17653,78832,79082,79082,80082,250,1000,200,250.0,96735,0,40,40,S01_0train_T040
40,1,0train,0,right_hand,2,80663,80663,322.652,81163,324.652,4.0,500,15572,80913,81163,81163,82163,250,1000,200,250.0,96735,0,41,41,S01_0train_T041
41,1,0train,0,feet,3,82641,82641,330.564,83141,332.564,4.0,500,13594,82891,83141,83141,84141,250,1000,200,250.0,96735,0,42,42,S01_0train_T042
42,1,0train,0,right_hand,2,84631,84631,338.524,85131,340.524,4.0,500,11604,84881,85131,85131,86131,250,1000,200,250.0,96735,0,43,43,S01_0train_T043
43,1,0train,0,feet,3,86750,86750,347.0,87250,349.0,4.0,500,9485,87000,87250,87250,88250,250,1000,200,250.0,96735,0,44,44,S01_0train_T044
44,1,0train,0,tongue,4,88656,88656,354.624,89156,356.624,4.0,500,7579,88906,89156,89156,90156,250,1000,200,250.0,96735,0,45,45,S01_0train_T045
45,1,0train,0,right_hand,2,90584,90584,362.336,91084,364.336,4.0,500,5651,90834,91084,91084,92084,250,1000,200,250.0,96735,0,46,46,S01_0train_T046
46,1,0train,0,feet,3,92698,92698,370.792,93198,372.792,4.0,500,3537,92948,93198,93198,94198,250,1000,200,250.0,96735,0,47,47,S01_0train_T047
47,1,0train,0,left_hand,1,94757,94757,379.028,95257,381.028,4.0,500,1478,95007,95257,95257,96257,250,1000,200,250.0,96735,0,48,48,S01_0train_T048
48,1,0train,1,left_hand,1,250,250,1.0,750,3.0,4.0,500,95985,500,750,750,1750,250,1000,200,250.0,96735,0,49,1,S01_0train_T049
49,1,0train,1,left_hand,1,2253,2253,9.012,2753,11.012,4.0,500,93982,2503,2753,2753,3753,250,1000,200,250.0,96735,0,50,2,S01_0train_T050
50,1,0train,1,tongue,4,4171,4171,16.684,4671,18.684,4.0,500,92064,4421,4671,4671,5671,250,1000,200,250.0,96735,0,51,3,S01_0train_T051
51,1,0train,1,right_hand,2,6123,6123,24.492,6623,26.492,4.0,500,90112,6373,6623,6623,7623,250,1000,200,250.0,96735,0,52,4,S01_0train_T052
52,1,0train,1,left_hand,1,8131,8131,32.524,8631,34.524,4.0,500,88104,8381,8631,8631,9631,250,1000,200,250.0,96735,0,53,5,S01_0train_T053
53,1,0train,1,feet,3,10242,10242,40.968,10742,42.968,4.0,500,85993,10492,10742,10742,11742,250,1000,200,250.0,96735,0,54,6,S01_0train_T054
54,1,0train,1,left_hand,1,12159,12159,48.636,12659,50.636,4.0,500,84076,12409,12659,12659,13659,250,1000,200,250.0,96735,0,55,7,S01_0train_T055
55,1,0train,1,feet,3,14209,14209,56.836,14709,58.836,4.0,500,82026,14459,14709,14709,15709,250,1000,200,250.0,96735,0,56,8,S01_0train_T056
56,1,0train,1,right_hand,2,16140,16140,64.56,16640,66.56,4.0,500,80095,16390,16640,16640,17640,250,1000,200,250.0,96735,0,57,9,S01_0train_T057
57,1,0train,1,tongue,4,18138,18138,72.552,18638,74.552,4.0,500,78097,18388,18638,18638,19638,250,1000,200,250.0,96735,0,58,10,S01_0train_T058
58,1,0train,1,left_hand,1,20044,20044,80.176,20544,82.176,4.0,500,76191,20294,20544,20544,21544,250,1000,200,250.0,96735,0,59,11,S01_0train_T059
59,1,0train,1,feet,3,21939,21939,87.756,22439,89.756,4.0,500,74296,22189,22439,22439,23439,250,1000,200,250.0,96735,0,60,12,S01_0train_T060
60,1,0train,1,feet,3,23911,23911,95.644,24411,97.644,4.0,500,72324,24161,24411,24411,25411,250,1000,200,250.0,96735,0,61,13,S01_0train_T061
61,1,0train,1,left_hand,1,25855,25855,103.42,26355,105.42,4.0,500,70380,26105,26355,26355,27355,250,1000,200,250.0,96735,0,62,14,S01_0train_T062
62,1,0train,1,feet,3,27822,27822,111.288,28322,113.288,4.0,500,68413,28072,28322,28322,29322,250,1000,200,250.0,96735,0,63,15,S01_0train_T063
63,1,0train,1,right_hand,2,29942,29942,119.768,30442,121.768,4.0,500,66293,30192,30442,30442,31442,250,1000,200,250.0,96735,0,64,16,S01_0train_T064
64,1,0train,1,tongue,4,31950,31950,127.8,32450,129.8,4.0,500,64285,32200,32450,32450,33450,250,1000,200,250.0,96735,0,65,17,S01_0train_T065
65,1,0train,1,tongue,4,34016,34016,136.064,34516,138.064,4.0,500,62219,34266,34516,34516,35516,250,1000,200,250.0,96735,0,66,18,S01_0train_T066
66,1,0train,1,tongue,4,36052,36052,144.208,36552,146.208,4.0,500,60183,36302,36552,36552,37552,250,1000,200,250.0,96735,0,67,19,S01_0train_T067
67,1,0train,1,feet,3,38118,38118,152.472,38618,154.472,4.0,500,58117,38368,38618,38618,39618,250,1000,200,250.0,96735,0,68,20,S01_0train_T068
68,1,0train,1,left_hand,1,40188,40188,160.752,40688,162.752,4.0,500,56047,40438,40688,40688,41688,250,1000,200,250.0,96735,0,69,21,S01_0train_T069
69,1,0train,1,tongue,4,42268,42268,169.072,42768,171.072,4.0,500,53967,42518,42768,42768,43768,250,1000,200,250.0,96735,0,70,22,S01_0train_T070
70,1,0train,1,right_hand,2,44180,44180,176.72,44680,178.72,4.0,500,52055,44430,44680,44680,45680,250,1000,200,250.0,96735,0,71,23,S01_0train_T071
71,1,0train,1,tongue,4,46211,46211,184.844,46711,186.844,4.0,500,50024,46461,46711,46711,47711,250,1000,200,250.0,96735,0,72,24,S01_0train_T072
72,1,0train,1,right_hand,2,48164,48164,192.656,48664,194.656,4.0,500,48071,48414,48664,48664,49664,250,1000,200,250.0,96735,0,73,25,S01_0train_T073
73,1,0train,1,left_hand,1,50125,50125,200.5,50625,202.5,4.0,500,46110,50375,50625,50625,51625,250,1000,200,250.0,96735,0,74,26,S01_0train_T074
74,1,0train,1,feet,3,52229,52229,208.916,52729,210.916,4.0,500,44006,52479,52729,52729,53729,250,1000,200,250.0,96735,0,75,27,S01_0train_T075
75,1,0train,1,right_hand,2,54233,54233,216.932,54733,218.932,4.0,500,42002,54483,54733,54733,55733,250,1000,200,250.0,96735,0,76,28,S01_0train_T076
76,1,0train,1,left_hand,1,56208,56208,224.832,56708,226.832,4.0,500,40027,56458,56708,56708,57708,250,1000,200,250.0,96735,0,77,29,S01_0train_T077
77,1,0train,1,feet,3,58234,58234,232.936,58734,234.936,4.0,500,38001,58484,58734,58734,59734,250,1000,200,250.0,96735,0,78,30,S01_0train_T078
78,1,0train,1,feet,3,60305,60305,241.22,60805,243.22,4.0,500,35930,60555,60805,60805,61805,250,1000,200,250.0,96735,0,79,31,S01_0train_T079
79,1,0train,1,left_hand,1,62412,62412,249.648,62912,251.648,4.0,500,33823,62662,62912,62912,63912,250,1000,200,250.0,96735,0,80,32,S01_0train_T080
80,1,0train,1,feet,3,64504,64504,258.016,65004,260.016,4.0,500,31731,64754,65004,65004,66004,250,1000,200,250.0,96735,0,81,33,S01_0train_T081
81,1,0train,1,tongue,4,66595,66595,266.38,67095,268.38,4.0,500,29640,66845,67095,67095,68095,250,1000,200,250.0,96735,0,82,34,S01_0train_T082
82,1,0train,1,tongue,4,68638,68638,274.552,69138,276.552,4.0,500,27597,68888,69138,69138,70138,250,1000,200,250.0,96735,0,83,35,S01_0train_T083
83,1,0train,1,right_hand,2,70702,70702,282.808,71202,284.808,4.0,500,25533,70952,71202,71202,72202,250,1000,200,250.0,96735,0,84,36,S01_0train_T084
84,1,0train,1,left_hand,1,72722,72722,290.888,73222,292.888,4.0,500,23513,72972,73222,73222,74222,250,1000,200,250.0,96735,0,85,37,S01_0train_T085
85,1,0train,1,right_hand,2,74694,74694,298.776,75194,300.776,4.0,500,21541,74944,75194,75194,76194,250,1000,200,250.0,96735,0,86,38,S01_0train_T086
86,1,0train,1,tongue,4,76657,76657,306.628,77157,308.628,4.0,500,19578,76907,77157,77157,78157,250,1000,200,250.0,96735,0,87,39,S01_0train_T087
87,1,0train,1,right_hand,2,78582,78582,314.328,79082,316.328,4.0,500,17653,78832,79082,79082,80082,250,1000,200,250.0,96735,0,88,40,S01_0train_T088
88,1,0train,1,tongue,4,80663,80663,322.652,81163,324.652,4.0,500,15572,80913,81163,81163,82163,250,1000,200,250.0,96735,0,89,41,S01_0train_T089
89,1,0train,1,feet,3,82641,82641,330.564,83141,332.564,4.0,500,13594,82891,83141,83141,84141,250,1000,200,250.0,96735,0,90,42,S01_0train_T090
90,1,0train,1,right_hand,2,84631,84631,338.524,85131,340.524,4.0,500,11604,84881,85131,85131,86131,250,1000,200,250.0,96735,0,91,43,S01_0train_T091
91,1,0train,1,right_hand,2,86750,86750,347.0,87250,349.0,4.0,500,9485,87000,87250,87250,88250,250,1000,200,250.0,96735,0,92,44,S01_0train_T092
92,1,0train,1,right_hand,2,88656,88656,354.624,89156,356.624,4.0,500,7579,88906,89156,89156,90156,250,1000,200,250.0,96735,0,93,45,S01_0train_T093
93,1,0train,1,feet,3,90584,90584,362.336,91084,364.336,4.0,500,5651,90834,91084,91084,92084,250,1000,200,250.0,96735,0,94,46,S01_0train_T094
94,1,0train,1,tongue,4,92698,92698,370.792,93198,372.792,4.0,500,3537,92948,93198,93198,94198,250,1000,200,250.0,96735,0,95,47,S01_0train_T095
95,1,0train,1,left_hand,1,94757,94757,379.028,95257,381.028,4.0,500,1478,95007,95257,95257,96257,250,1000,200,250.0,96735,0,96,48,S01_0train_T096
96,1,0train,2,right_hand,2,250,250,1.0,750,3.0,4.0,500,95985,500,750,750,1750,250,1000,200,250.0,96735,0,97,1,S01_0train_T097
97,1,0train,2,tongue,4,2253,2253,9.012,2753,11.012,4.0,500,93982,2503,2753,2753,3753,250,1000,200,250.0,96735,0,98,2,S01_0train_T098
98,1,0train,2,left_hand,1,4171,4171,16.684,4671,18.684,4.0,500,92064,4421,4671,4671,5671,250,1000,200,250.0,96735,0,99,3,S01_0train_T099
99,1,0train,2,feet,3,6123,6123,24.492,6623,26.492,4.0,500,90112,6373,6623,6623,7623,250,1000,200,250.0,96735,0,100,4,S01_0train_T100
100,1,0train,2,feet,3,8131,8131,32.524,8631,34.524,4.0,500,88104,8381,8631,8631,9631,250,1000,200,250.0,96735,0,101,5,S01_0train_T101
101,1,0train,2,tongue,4,10242,10242,40.968,10742,42.968,4.0,500,85993,10492,10742,10742,11742,250,1000,200,250.0,96735,0,102,6,S01_0train_T102
102,1,0train,2,left_hand,1,12159,12159,48.636,12659,50.636,4.0,500,84076,12409,12659,12659,13659,250,1000,200,250.0,96735,0,103,7,S01_0train_T103
103,1,0train,2,left_hand,1,14209,14209,56.836,14709,58.836,4.0,500,82026,14459,14709,14709,15709,250,1000,200,250.0,96735,0,104,8,S01_0train_T104
104,1,0train,2,feet,3,16140,16140,64.56,16640,66.56,4.0,500,80095,16390,16640,16640,17640,250,1000,200,250.0,96735,0,105,9,S01_0train_T105
105,1,0train,2,right_hand,2,18138,18138,72.552,18638,74.552,4.0,500,78097,18388,18638,18638,19638,250,1000,200,250.0,96735,0,106,10,S01_0train_T106
106,1,0train,2,tongue,4,20044,20044,80.176,20544,82.176,4.0,500,76191,20294,20544,20544,21544,250,1000,200,250.0,96735,0,107,11,S01_0train_T107
107,1,0train,2,tongue,4,21939,21939,87.756,22439,89.756,4.0,500,74296,22189,22439,22439,23439,250,1000,200,250.0,96735,0,108,12,S01_0train_T108
108,1,0train,2,tongue,4,23911,23911,95.644,24411,97.644,4.0,500,72324,24161,24411,24411,25411,250,1000,200,250.0,96735,0,109,13,S01_0train_T109
109,1,0train,2,right_hand,2,25855,25855,103.42,26355,105.42,4.0,500,70380,26105,26355,26355,27355,250,1000,200,250.0,96735,0,110,14,S01_0train_T110
110,1,0train,2,left_hand,1,27822,27822,111.288,28322,113.288,4.0,500,68413,28072,28322,28322,29322,250,1000,200,250.0,96735,0,111,15,S01_0train_T111
111,1,0train,2,feet,3,29942,29942,119.768,30442,121.768,4.0,500,66293,30192,30442,30442,31442,250,1000,200,250.0,96735,0,112,16,S01_0train_T112
112,1,0train,2,right_hand,2,31950,31950,127.8,32450,129.8,4.0,500,64285,32200,32450,32450,33450,250,1000,200,250.0,96735,0,113,17,S01_0train_T113
113,1,0train,2,tongue,4,34016,34016,136.064,34516,138.064,4.0,500,62219,34266,34516,34516,35516,250,1000,200,250.0,96735,0,114,18,S01_0train_T114
114,1,0train,2,left_hand,1,36052,36052,144.208,36552,146.208,4.0,500,60183,36302,36552,36552,37552,250,1000,200,250.0,96735,0,115,19,S01_0train_T115
115,1,0train,2,tongue,4,38118,38118,152.472,38618,154.472,4.0,500,58117,38368,38618,38618,39618,250,1000,200,250.0,96735,0,116,20,S01_0train_T116
116,1,0train,2,feet,3,40188,40188,160.752,40688,162.752,4.0,500,56047,40438,40688,40688,41688,250,1000,200,250.0,96735,0,117,21,S01_0train_T117
117,1,0train,2,right_hand,2,42268,42268,169.072,42768,171.072,4.0,500,53967,42518,42768,42768,43768,250,1000,200,250.0,96735,0,118,22,S01_0train_T118
118,1,0train,2,tongue,4,44180,44180,176.72,44680,178.72,4.0,500,52055,44430,44680,44680,45680,250,1000,200,250.0,96735,0,119,23,S01_0train_T119
119,1,0train,2,tongue,4,46211,46211,184.844,46711,186.844,4.0,500,50024,46461,46711,46711,47711,250,1000,200,250.0,96735,0,120,24,S01_0train_T120
120,1,0train,2,left_hand,1,48164,48164,192.656,48664,194.656,4.0,500,48071,48414,48664,48664,49664,250,1000,200,250.0,96735,0,121,25,S01_0train_T121
121,1,0train,2,right_hand,2,50125,50125,200.5,50625,202.5,4.0,500,46110,50375,50625,50625,51625,250,1000,200,250.0,96735,0,122,26,S01_0train_T122
122,1,0train,2,right_hand,2,52229,52229,208.916,52729,210.916,4.0,500,44006,52479,52729,52729,53729,250,1000,200,250.0,96735,0,123,27,S01_0train_T123
123,1,0train,2,feet,3,54233,54233,216.932,54733,218.932,4.0,500,42002,54483,54733,54733,55733,250,1000,200,250.0,96735,0,124,28,S01_0train_T124
124,1,0train,2,tongue,4,56208,56208,224.832,56708,226.832,4.0,500,40027,56458,56708,56708,57708,250,1000,200,250.0,96735,0,125,29,S01_0train_T125
125,1,0train,2,right_hand,2,58234,58234,232.936,58734,234.936,4.0,500,38001,58484,58734,58734,59734,250,1000,200,250.0,96735,0,126,30,S01_0train_T126
126,1,0train,2,left_hand,1,60305,60305,241.22,60805,243.22,4.0,500,35930,60555,60805,60805,61805,250,1000,200,250.0,96735,0,127,31,S01_0train_T127
127,1,0train,2,left_hand,1,62412,62412,249.648,62912,251.648,4.0,500,33823,62662,62912,62912,63912,250,1000,200,250.0,96735,0,128,32,S01_0train_T128
128,1,0train,2,tongue,4,64504,64504,258.016,65004,260.016,4.0,500,31731,64754,65004,65004,66004,250,1000,200,250.0,96735,0,129,33,S01_0train_T129
129,1,0train,2,right_hand,2,66595,66595,266.38,67095,268.38,4.0,500,29640,66845,67095,67095,68095,250,1000,200,250.0,96735,0,130,34,S01_0train_T130
130,1,0train,2,left_hand,1,68638,68638,274.552,69138,276.552,4.0,500,27597,68888,69138,69138,70138,250,1000,200,250.0,96735,0,131,35,S01_0train_T131
131,1,0train,2,feet,3,70702,70702,282.808,71202,284.808,4.0,500,25533,70952,71202,71202,72202,250,1000,200,250.0,96735,0,132,36,S01_0train_T132
132,1,0train,2,right_hand,2,72722,72722,290.888,73222,292.888,4.0,500,23513,72972,73222,73222,74222,250,1000,200,250.0,96735,0,133,37,S01_0train_T133
133,1,0train,2,right_hand,2,74694,74694,298.776,75194,300.776,4.0,500,21541,74944,75194,75194,76194,250,1000,200,250.0,96735,0,134,38,S01_0train_T134
134,1,0train,2,feet,3,76657,76657,306.628,77157,308.628,4.0,500,19578,76907,77157,77157,78157,250,1000,200,250.0,96735,0,135,39,S01_0train_T135
135,1,0train,2,left_hand,1,78582,78582,314.328,79082,316.328,4.0,500,17653,78832,79082,79082,80082,250,1000,200,250.0,96735,0,136,40,S01_0train_T136
136,1,0train,2,tongue,4,80663,80663,322.652,81163,324.652,4.0,500,15572,80913,81163,81163,82163,250,1000,200,250.0,96735,0,137,41,S01_0train_T137
137,1,0train,2,feet,3,82641,82641,330.564,83141,332.564,4.0,500,13594,82891,83141,83141,84141,250,1000,200,250.0,96735,0,138,42,S01_0train_T138
138,1,0train,2,feet,3,84631,84631,338.524,85131,340.524,4.0,500,11604,84881,85131,85131,86131,250,1000,200,250.0,96735,0,139,43,S01_0train_T139
139,1,0train,2,feet,3,86750,86750,347.0,87250,349.0,4.0,500,9485,87000,87250,87250,88250,250,1000,200,250.0,96735,0,140,44,S01_0train_T140
140,1,0train,2,feet,3,88656,88656,354.624,89156,356.624,4.0,500,7579,88906,89156,89156,90156,250,1000,200,250.0,96735,0,141,45,S01_0train_T141
141,1,0train,2,left_hand,1,90584,90584,362.336,91084,364.336,4.0,500,5651,90834,91084,91084,92084,250,1000,200,250.0,96735,0,142,46,S01_0train_T142
142,1,0train,2,right_hand,2,92698,92698,370.792,93198,372.792,4.0,500,3537,92948,93198,93198,94198,250,1000,200,250.0,96735,0,143,47,S01_0train_T143
143,1,0train,2,left_hand,1,94757,94757,379.028,95257,381.028,4.0,500,1478,95007,95257,95257,96257,250,1000,200,250.0,96735,0,144,48,S01_0train_T144
144,1,0train,3,right_hand,2,250,250,1.0,750,3.0,4.0,500,95985,500,750,750,1750,250,1000,200,250.0,96735,0,145,1,S01_0train_T145
145,1,0train,3,left_hand,1,2253,2253,9.012,2753,11.012,4.0,500,93982,2503,2753,2753,3753,250,1000,200,250.0,96735,0,146,2,S01_0train_T146
146,1,0train,3,left_hand,1,4171,4171,16.684,4671,18.684,4.0,500,92064,4421,4671,4671,5671,250,1000,200,250.0,96735,0,147,3,S01_0train_T147
147,1,0train,3,feet,3,6123,6123,24.492,6623,26.492,4.0,500,90112,6373,6623,6623,7623,250,1000,200,250.0,96735,0,148,4,S01_0train_T148
148,1,0train,3,feet,3,8131,8131,32.524,8631,34.524,4.0,500,88104,8381,8631,8631,9631,250,1000,200,250.0,96735,0,149,5,S01_0train_T149
149,1,0train,3,right_hand,2,10242,10242,40.968,10742,42.968,4.0,500,85993,10492,10742,10742,11742,250,1000,200,250.0,96735,0,150,6,S01_0train_T150
150,1,0train,3,feet,3,12159,12159,48.636,12659,50.636,4.0,500,84076,12409,12659,12659,13659,250,1000,200,250.0,96735,0,151,7,S01_0train_T151
151,1,0train,3,tongue,4,14209,14209,56.836,14709,58.836,4.0,500,82026,14459,14709,14709,15709,250,1000,200,250.0,96735,0,152,8,S01_0train_T152
152,1,0train,3,left_hand,1,16140,16140,64.56,16640,66.56,4.0,500,80095,16390,16640,16640,17640,250,1000,200,250.0,96735,0,153,9,S01_0train_T153
153,1,0train,3,tongue,4,18138,18138,72.552,18638,74.552,4.0,500,78097,18388,18638,18638,19638,250,1000,200,250.0,96735,0,154,10,S01_0train_T154
154,1,0train,3,left_hand,1,20044,20044,80.176,20544,82.176,4.0,500,76191,20294,20544,20544,21544,250,1000,200,250.0,96735,0,155,11,S01_0train_T155
155,1,0train,3,left_hand,1,21939,21939,87.756,22439,89.756,4.0,500,74296,22189,22439,22439,23439,250,1000,200,250.0,96735,0,156,12,S01_0train_T156
156,1,0train,3,right_hand,2,23911,23911,95.644,24411,97.644,4.0,500,72324,24161,24411,24411,25411,250,1000,200,250.0,96735,0,157,13,S01_0train_T157
157,1,0train,3,tongue,4,25855,25855,103.42,26355,105.42,4.0,500,70380,26105,26355,26355,27355,250,1000,200,250.0,96735,0,158,14,S01_0train_T158
158,1,0train,3,feet,3,27822,27822,111.288,28322,113.288,4.0,500,68413,28072,28322,28322,29322,250,1000,200,250.0,96735,0,159,15,S01_0train_T159
159,1,0train,3,right_hand,2,29942,29942,119.768,30442,121.768,4.0,500,66293,30192,30442,30442,31442,250,1000,200,250.0,96735,0,160,16,S01_0train_T160
160,1,0train,3,tongue,4,31950,31950,127.8,32450,129.8,4.0,500,64285,32200,32450,32450,33450,250,1000,200,250.0,96735,0,161,17,S01_0train_T161
161,1,0train,3,feet,3,34016,34016,136.064,34516,138.064,4.0,500,62219,34266,34516,34516,35516,250,1000,200,250.0,96735,0,162,18,S01_0train_T162
162,1,0train,3,tongue,4,36052,36052,144.208,36552,146.208,4.0,500,60183,36302,36552,36552,37552,250,1000,200,250.0,96735,0,163,19,S01_0train_T163
163,1,0train,3,feet,3,38118,38118,152.472,38618,154.472,4.0,500,58117,38368,38618,38618,39618,250,1000,200,250.0,96735,0,164,20,S01_0train_T164
164,1,0train,3,tongue,4,40188,40188,160.752,40688,162.752,4.0,500,56047,40438,40688,40688,41688,250,1000,200,250.0,96735,0,165,21,S01_0train_T165
