class,subject_row,subject_column,value,off_diagonal,profile
feet,1,8,0.7061697305056454,True,raw
feet,1,9,1.2377617069933042,True,raw
feet,2,1,0.36275124834618466,True,raw
feet,2,2,0.23298471218000266,False,raw
feet,2,3,0.6898663772996543,True,raw
feet,2,4,0.42294317507673906,True,raw
feet,2,5,0.6291895632182885,True,raw
feet,2,6,0.5290157381050529,True,raw
feet,2,7,1.092526233224921,True,raw
feet,2,8,0.9716237409446876,True,raw
feet,2,9,2.3172718663354273,True,raw
feet,3,1,0.48056628398017104,True,raw
feet,3,2,0.6898663772996543,True,raw
feet,3,3,0.36858647598129357,False,raw
feet,3,4,0.4602517352379014,True,raw
feet,3,5,0.410434036946299,True,raw
feet,3,6,0.36137603668905827,True,raw
feet,3,7,0.5585535651864217,True,raw
feet,3,8,0.5974666528053021,True,raw
feet,3,9,1.1732763133898345,True,raw
feet,4,1,0.30468382271632105,True,raw
feet,4,2,0.42294317507673906,True,raw
feet,4,3,0.4602517352379014,True,raw
feet,4,4,0.38751133151696693,False,raw
feet,4,5,0.4226388702289454,True,raw
feet,4,6,0.36783566693366637,True,raw
feet,4,7,0.6891868711327096,True,raw
feet,4,8,0.7744567666962239,True,raw
feet,4,9,1.5838478242658385,True,raw
feet,5,1,0.43686733106386844,True,raw
feet,5,2,0.6291895632182885,True,raw
feet,5,3,0.410434036946299,True,raw
feet,5,4,0.4226388702289454,True,raw
feet,5,5,0.18216088061762017,False,raw
feet,5,6,0.40265640160436866,True,raw
feet,5,7,0.2973447993077718,True,raw
feet,5,8,0.4529919597132826,True,raw
feet,5,9,0.6419911404634808,True,raw
feet,6,1,0.5185121867147708,True,raw
feet,6,2,0.5290157381050529,True,raw
feet,6,3,0.36137603668905827,True,raw
feet,6,4,0.36783566693366637,True,raw
feet,6,5,0.40265640160436866,True,raw
feet,6,6,0.3117843455615918,False,raw
feet,6,7,0.6222812272924103,True,raw
feet,6,8,0.7257195336298526,True,raw
feet,6,9,1.370441555364331,True,raw
feet,7,1,0.6638260545022361,True,raw
feet,7,2,1.092526233224921,True,raw
feet,7,3,0.5585535651864217,True,raw
feet,7,4,0.6891868711327096,True,raw
feet,7,5,0.2973447993077718,True,raw
feet,7,6,0.6222812272924103,True,raw
feet,7,7,0.47468156310202086,False,raw
feet,7,8,0.3981823530475103,True,raw
feet,7,9,0.5793911429536152,True,raw
feet,8,1,0.7061697305056454,True,raw
feet,8,2,0.9716237409446876,True,raw
feet,8,3,0.5974666528053021,True,raw
feet,8,4,0.7744567666962239,True,raw
feet,8,5,0.4529919597132826,True,raw
feet,8,6,0.7257195336298526,True,raw
feet,8,7,0.3981823530475103,True,raw
feet,8,8,0.4059256849591433,False,raw
feet,8,9,0.42608327084089936,True,raw
feet,9,1,1.2377617069933042,True,raw
feet,9,2,2.3172718663354273,True,raw
feet,9,3,1.1732763133898345,True,raw
feet,9,4,1.5838478242658385,True,raw
feet,9,5,0.6419911404634808,True,raw
feet,9,6,1.370441555364331,True,raw
feet,9,7,0.5793911429536152,True,raw
feet,9,8,0.42608327084089936,True,raw
feet,9,9,0.5938232711758638,False,raw
tongue,1,1,0.3033856670645641,False,raw
tongue,1,2,0.26081499028882515,True,raw
tongue,1,3,0.44833303426558435,True,raw
tongue,1,4,0.4035640476016093,True,raw
tongue,1,5,0.42217499723239904,True,raw
tongue,1,6,0.8214383043586939,True,raw
tongue,1,7,0.5163104880299285,True,raw
tongue,1,8,0.3628775631283543,True,raw
tongue,1,9,0.3787892814497076,True,raw
tongue,2,1,0.26081499028882515,True,raw
tongue,2,2,0.23106048347024633,False,raw
tongue,2,3,0.3133494127368736,True,raw
tongue,2,4,0.3136275886526262,True,raw
tongue,2,5,0.3842868251163868,True,raw
tongue,2,6,0.819627164160183,True,raw
tongue,2,7,0.4460807638339166,True,raw
tongue,2,8,0.3602905711388775,True,raw
tongue,2,9,0.37246070039485074,True,raw
tongue,3,1,0.44833303426558435,True,raw
tongue,3,2,0.3133494127368736,True,raw
tongue,3,3,0.2780143626273433,False,raw
tongue,3,4,0.32942003712480483,True,raw
tongue,3,5,0.46216911930628896,True,raw
tongue,3,6,0.8126204525045647,True,raw
tongue,3,7,0.44034336823959785,True,raw
tongue,3,8,0.4606537289890946,True,raw
tongue,3,9,0.5828559957731813,True,raw
tongue,4,1,0.4035640476016093,True,raw
tongue,4,2,0.3136275886526262,True,raw
tongue,4,3,0.32942003712480483,True,raw
tongue,4,4,0.2354554023552173,False,raw
tongue,4,5,0.4493943098479771,True,raw
tongue,4,6,0.8756521184065047,True,raw
tongue,4,7,0.4386938338109236,True,raw
tongue,4,8,0.5751360896432918,True,raw
tongue,4,9,0.41545925401383693,True,raw
tongue,5,1,0.42217499723239904,True,raw
tongue,5,2,0.3842868251163868,True,raw
tongue,5,3,0.46216911930628896,True,raw
tongue,5,4,0.4493943098479771,True,raw
tongue,5,5,0.22277295190950375,False,raw
tongue,5,6,0.40381622457687705,True,raw
tongue,5,7,0.32691062271386473,True,raw
tongue,5,8,0.3515351029989417,True,raw
tongue,5,9,0.5176877350035376,True,raw
tongue,6,1,0.8214383043586939,True,raw
tongue,6,2,0.819627164160183,True,raw
tongue,6,3,0.8126204525045647,True,raw
tongue,6,4,0.8756521184065047,True,raw
tongue,6,5,0.40381622457687705,True,raw
tongue,6,6,0.4857757044624469,False,raw
tongue,6,7,0.4823368181796782,True,raw
tongue,6,8,0.6349052915045299,True,raw
tongue,6,9,1.2910316860449456,True,raw
tongue,7,1,0.5163104880299285,True,raw
tongue,7,2,0.4460807638339166,True,raw
tongue,7,3,0.44034336823959785,True,raw
tongue,7,4,0.4386938338109236,True,raw
tongue,7,5,0.32691062271386473,True,raw
tongue,7,6,0.4823368181796782,True,raw
tongue,7,7,0.332545539415925,False,raw
tongue,7,8,0.5106717522166598,True,raw
tongue,7,9,0.7623739848849638,True,raw
tongue,8,1,0.3628775631283543,True,raw
tongue,8,2,0.3602905711388775,True,raw
tongue,8,3,0.4606537289890946,True,raw
tongue,8,4,0.5751360896432918,True,raw
tongue,8,5,0.3515351029989417,True,raw
tongue,8,6,0.6349052915045299,True,raw
tongue,8,7,0.5106717522166598,True,raw
tongue,8,8,0.42355541105945427,False,raw
tongue,8,9,0.6116571239902703,True,raw
tongue,9,1,0.3787892814497076,True,raw
tongue,9,2,0.37246070039485074,True,raw
tongue,9,3,0.5828559957731813,True,raw
tongue,9,4,0.41545925401383693,True,raw
tongue,9,5,0.5176877350035376,True,raw
tongue,9,6,1.2910316860449456,True,raw
tongue,9,7,0.7623739848849638,True,raw
tongue,9,8,0.6116571239902703,True,raw
tongue,9,9,0.38931450599410544,False,raw
