subject,session,class,transition,PC1,PC2
5,0train,tongue,4,-0.566205334049526,-0.13366368452168872
6,0train,left_hand,1,-0.33246088762091414,0.47253061156820547
6,0train,left_hand,2,-0.11583882144997874,-0.17273801052637128
6,0train,left_hand,3,0.49878318221245593,0.1110183318345416
6,0train,left_hand,4,-0.06406061392589651,0.027331964513450605
6,0train,right_hand,1,0.1864124684898189,0.38095942778376696
6,0train,right_hand,2,-0.24631763207233842,-0.09300207273027135
6,0train,right_hand,3,0.38765760456579046,0.14795931033539805
6,0train,right_hand,4,-0.15718147806059787,-0.16521703266128063
6,0train,feet,1,1.0379566440487915,0.36914068600766997
6,0train,feet,2,-0.21653403824365589,0.1797936312138602
6,0train,feet,3,0.43194840723707467,0.11183994608149546
6,0train,feet,4,-0.04060478527156419,0.026744517347839846
6,0train,tongue,1,0.26739130735877703,0.16195481745559734
6,0train,tongue,2,-0.11734882786035336,0.18683093510626575
6,0train,tongue,3,0.50768668329558,0.1734569865976355
6,0train,tongue,4,0.12168577735415584,-0.07622650167764905
7,0train,left_hand,1,-0.39444804306702946,0.5562355063647801
7,0train,left_hand,2,-0.2693915390119005,-0.009362651578918165
7,0train,left_hand,3,0.05371483152673798,-0.1253275872316029
7,0train,left_hand,4,-0.2077930218445619,-0.200103531895668
7,0train,right_hand,1,-0.3769901272601919,0.4153927227507147
7,0train,right_hand,2,-0.47983217367328673,0.03293723981574741
7,0train,right_hand,3,0.472416623381559,-0.10062764863150114
7,0train,right_hand,4,-0.4849886321080765,-0.3964043369783172
7,0train,feet,1,0.0013041641589268704,-0.022657748101307884
7,0train,feet,2,-0.502915301507783,-0.0394850844428596
7,0train,feet,3,0.1178000520777881,-0.04140419873373062
7,0train,feet,4,0.16052956976230845,0.04495807885759112
7,0train,tongue,1,0.7212640351927913,0.02406417632834105
7,0train,tongue,2,-0.2753880168808613,0.051596424402326584
7,0train,tongue,3,0.160364990610377,0.01715513128854475
7,0train,tongue,4,0.14902718945607202,-0.046302857496221796
8,0train,left_hand,1,-1.4383673405963908,-0.12198742086003303
8,0train,left_hand,2,0.34127105013133735,0.013432835810808792
8,0train,left_hand,3,0.18412799779004163,-0.022647527917950865
8,0train,left_hand,4,0.09562463209218292,0.14190414380214394
8,0train,right_hand,1,-0.9491549710634046,-0.03161074447350904
8,0train,right_hand,2,0.5132598155574164,0.016312388245677555
8,0train,right_hand,3,-0.02941250071951974,-0.07894305926852432
8,0train,right_hand,4,0.02751857847969252,-0.004273780546930408
8,0train,feet,1,-0.5649629262166325,0.016239870922252663
8,0train,feet,2,0.4757870655126171,-0.02423653853626915
8,0train,feet,3,-0.33819621346471845,0.005387096037121749
8,0train,feet,4,0.02507333153419893,-0.1385907951837076
8,0train,tongue,1,0.9521260367886542,0.1643840220846275
8,0train,tongue,2,0.23137784311646242,0.3053495777746754
8,0train,tongue,3,-0.18062690150049654,-0.09683380705156892
8,0train,tongue,4,-0.39064750912691154,0.04928638431985656
9,0train,left_hand,1,-2.8151151774117475,1.3704263382303419
9,0train,left_hand,2,-0.35146101766481264,-0.47402577646718674
9,0train,left_hand,3,2.007523865959434,-0.6589773953576396
9,0train,left_hand,4,1.8515640794565953,-0.44392487924379614
9,0train,right_hand,1,-0.3533918433453623,0.42663809515418083
9,0train,right_hand,2,0.4319288343604822,-0.2487149143443715
9,0train,right_hand,3,0.5755714379242035,0.15506858218605366
9,0train,right_hand,4,-0.14910943885464759,-0.27746378852337666
9,0train,feet,1,-0.9712421917742268,0.15875482298056706
9,0train,feet,2,0.5804998975051416,-0.05168861298945711
9,0train,feet,3,0.19595981102324395,0.025544346493593443
9,0train,feet,4,-0.21656778353254943,0.33694508494338404
9,0train,tongue,1,2.1138108306551073,0.5087859424372335
9,0train,tongue,2,-1.291880095766304,-0.0852753894827811
9,0train,tongue,3,-0.7805379866674508,-0.14086443326136874
9,0train,tongue,4,-0.5934420097513643,0.03185363224468618
1,1test,left_hand,1,-0.8160993550573429,0.3772206185429866
1,1test,left_hand,2,-0.526100960228909,-0.2571833657184459
1,1test,left_hand,3,0.09364575193986723,-0.023100006064476982
1,1test,left_hand,4,-0.17588138834491626,0.0076681260611918
1,1test,right_hand,1,-0.9829711529505772,0.3788428642140034
1,1test,right_hand,2,-0.16233814363723623,-0.212234389474826
1,1test,right_hand,3,-0.055409268359788516,-0.1463462064184954
1,1test,right_hand,4,-0.2990124542039785,-0.11688032265480584
1,1test,feet,1,0.818212347158835,-0.15536748873934242
1,1test,feet,2,-0.23477377107348044,-0.06447080255531888
1,1test,feet,3,-0.18669089864175062,0.10349971370587303
1,1test,feet,4,-0.8906277467154764,-0.11346136670227719
1,1test,tongue,1,1.5098797610671948,-0.15242483554850536
1,1test,tongue,2,-0.45052459741550915,-0.0737283857414164
1,1test,tongue,3,-0.43198266919386724,-0.12620838712806617
1,1test,tongue,4,-0.2563723000676397,-0.06160504681110215
2,1test,left_hand,1,0.9794300582001993,-0.11499034733256075
2,1test,left_hand,2,-0.17748187816935526,-0.12154332500587348
2,1test,left_hand,3,-0.04797603373763194,-0.2054207315339425
2,1test,left_hand,4,-0.4459121270162394,-0.22270876505558007
2,1test,right_hand,1,1.066984002631205,-0.15025956524288883
2,1test,right_hand,2,-0.14260522268445242,0.14283119517139262
2,1test,right_hand,3,-0.0665081380873477,-0.34712420460459353
2,1test,right_hand,4,-0.5844830039691631,-0.17508715847334233
2,1test,feet,1,1.6308191960162088,-0.08160311602266751
2,1test,feet,2,-0.3500686862770785,0.00792305503321206
2,1test,feet,3,-0.5261991140425886,-0.05425830415754299
2,1test,feet,4,-0.20234077405384926,-0.25605482507051364
2,1test,tongue,1,1.3390548353053058,0.03593620315617802
2,1test,tongue,2,-0.49813142049216175,-0.16410881516023257
2,1test,tongue,3,0.05351153670702177,-0.12850666291181734
2,1test,tongue,4,-0.45338455454707366,-0.0891004639447686
3,1test,left_hand,1,-0.1623236918660798,0.8954872694355017
3,1test,left_hand,2,0.07778525784883254,-0.2675444132172922
3,1test,left_hand,3,0.40494701438883646,0.06938232651973754
3,1test,left_hand,4,-0.23503536296120625,-0.08672920934733525
3,1test,right_hand,1,-0.3597207157992572,0.9992720063331009
3,1test,right_hand,2,-0.06172373090720992,-0.18222640509082788
3,1test,right_hand,3,0.3440568840307865,-0.06219450590951915
3,1test,right_hand,4,-0.013824764538031031,-0.09658612926596184
3,1test,feet,1,1.2034143177512602,0.742932861694152
3,1test,feet,2,-0.013150323983116004,-0.18642938669037382
3,1test,feet,3,0.21483670105206906,-0.04439799082317431
3,1test,feet,4,-0.49444068954998144,-0.0483422273567487
3,1test,tongue,1,1.9274539005823363,0.5514524895841567
3,1test,tongue,2,-0.6388208870342515,-0.1668882328831195
3,1test,tongue,3,0.17008462087703444,0.11137052754497816
3,1test,tongue,4,-0.33513670706884147,-0.08139998717834578
4,1test,left_hand,1,-0.1804587753454998,0.021475034572759427
4,1test,left_hand,2,0.1502402409654384,0.09860608707372047
4,1test,left_hand,3,-0.0858417808158304,-0.16821864013378623
4,1test,left_hand,4,-0.10976897206139977,-0.22688212051277262
4,1test,right_hand,1,0.5133006441652865,-0.04828802928288577
4,1test,right_hand,2,0.11512879651243685,0.10610935144646104
4,1test,right_hand,3,0.29830296176544313,-0.012556035953296305
4,1test,right_hand,4,-0.889453086505836,-0.4504725532617491
4,1test,feet,1,1.8306007589339293,0.6512226912538686
4,1test,feet,2,-0.4202219854400467,-0.1975116636269666
4,1test,feet,3,-0.1549431812178237,-0.1184321861483909
4,1test,feet,4,-0.24034049309288164,-0.3268096764470507
4,1test,tongue,1,1.902152427018626,0.5017315905732216
4,1test,tongue,2,-1.028963929799231,-0.09305266615730588
4,1test,tongue,3,0.003035197302723056,-0.2345035061668261
4,1test,tongue,4,0.03655501427609508,-0.16986918040876803
5,1test,left_hand,1,-0.1773143894848398,0.0070237420423770605
5,1test,left_hand,2,0.005232038413934754,-0.12488524854954049
5,1test,left_hand,3,0.015722843213171796,-0.09304831821708322
5,1test,left_hand,4,-0.20954054351552534,-0.21848926856736758
5,1test,right_hand,1,0.06499692740248765,0.08123478180214022
5,1test,right_hand,2,-0.11879859616604913,-0.2603459548324554
5,1test,right_hand,3,-0.26601293170231205,-0.16768997672734903
5,1test,right_hand,4,-0.035470865793257915,-0.10800355007116698
5,1test,feet,1,0.05784601137079736,-0.05763549977906217
5,1test,feet,2,-0.5920306262397693,-0.21392817278308446
5,1test,feet,3,0.06873956519429326,0.0009562052397546433
5,1test,feet,4,-0.07562719592910037,-0.1816526191390553
5,1test,tongue,1,0.3058102768631828,0.09948958597881827
5,1test,tongue,2,-0.34151721439900723,-0.15050874894613192
5,1test,tongue,3,-0.26595918304889027,-0.018613209468468252
5,1test,tongue,4,-0.41453071030833233,-0.17400328087856537
6,1test,left_hand,1,0.16898892360422443,0.2478833710908349
6,1test,left_hand,2,-0.2356222204323303,-0.10985881241330518
6,1test,left_hand,3,0.10099652401410915,0.12460038022681712
6,1test,left_hand,4,-0.06457098972671896,-0.059501925890054215
6,1test,right_hand,1,-0.04193940635345189,0.32446980991384594
6,1test,right_hand,2,-0.2959261809980677,-0.21421017886140178
6,1test,right_hand,3,-0.24596893430718245,0.06277994335676958
6,1test,right_hand,4,0.05976159192845858,-0.011364405061663987
6,1test,feet,1,0.9380712009902118,0.08477363872622586
6,1test,feet,2,-0.3446047964704454,0.11179951876448795
6,1test,feet,3,0.6842020031659992,0.35494391988970414
6,1test,feet,4,-0.15534504239909813,-0.16680048760944133
6,1test,tongue,1,-0.1533315411775182,0.04004029976803792
6,1test,tongue,2,0.08790283380561538,0.1817447036330157
6,1test,tongue,3,0.3394977997877255,0.20055181886847673
6,1test,tongue,4,-0.5710243776196217,-0.2830841456674944
7,1test,left_hand,1,-0.4995940863350648,0.4880813848817102
7,1test,left_hand,2,-0.02233157836431645,0.01381057306780797
7,1test,left_hand,3,0.2461623618535541,-0.13619498026597016
7,1test,left_hand,4,-0.540985049878739,-0.3114038616064601
7,1test,right_hand,1,-0.4977128817120094,0.3007830025823813
7,1test,right_hand,2,-0.02193743943732333,-0.035591132189152955
7,1test,right_hand,3,0.11457365546366541,-0.14780869595639728
7,1test,right_hand,4,-0.07303180081842052,-0.06834022883946593
7,1test,feet,1,-0.2627009916753274,-0.05122447899183101
7,1test,feet,2,0.4223433795147983,0.15906420572801178
7,1test,feet,3,-0.13815993936442417,-0.06662359872282213
7,1test,feet,4,-0.04027683318972672,-0.0931689368018038
7,1test,tongue,1,0.7167883431060939,0.08092491298490295
7,1test,tongue,2,-0.2763361569222809,0.20032610014687405
7,1test,tongue,3,0.4324048640337629,-0.038235714452968264
7,1test,tongue,4,-0.2148529280715602,-0.17169080935659126
8,1test,left_hand,1,-0.6771424058711791,0.023532891490531952
8,1test,left_hand,2,0.0031035931860261636,0.13737852236654854
8,1test,left_hand,3,0.4434235922466085,-0.07360585387519732
8,1test,left_hand,4,-0.4526476409757391,-0.23510187182526127
8,1test,right_hand,1,-0.3995682603310289,0.03044807290663719
8,1test,right_hand,2,0.30150298375390766,0.14680910458608112
8,1test,right_hand,3,0.3599238195655067,-0.08676644155692698
8,1test,right_hand,4,-0.27971489864131094,-0.11027362147239107
8,1test,feet,1,-0.1521210761046515,0.12903069313489224
8,1test,feet,2,0.20305401709805881,-0.12005979198354688
8,1test,feet,3,0.25062500016335204,0.0449221612880904
8,1test,feet,4,-0.6270011529422465,-0.007699065285976379
8,1test,tongue,1,1.02871885348218,0.26883076046563986
8,1test,tongue,2,-0.46451532908050264,0.17987067200725831
8,1test,tongue,3,0.013992190269029587,0.003301373055053909
8,1test,tongue,4,-0.7617461484069932,-0.21501100835578393
9,1test,left_hand,1,-3.7274130442636038,1.4291917740693758
9,1test,left_hand,2,-0.016197800099378094,-0.10203675088056222
9,1test,left_hand,3,0.24270848980065823,-0.3008562221189514
9,1test,left_hand,4,1.3315420885468168,-0.3907215547775047
9,1test,right_hand,1,0.03879007595186088,0.5192523415778365
9,1test,right_hand,2,-0.25501236257587345,-0.2503564422064247
9,1test,right_hand,3,-0.6060969716798742,0.13033365222553212
9,1test,right_hand,4,-0.15636642922483257,-0.15353375650673395
9,1test,feet,1,-0.7383302731437791,0.3774829922514116
9,1test,feet,2,0.24992567831517357,-0.23958305950231273
9,1test,feet,3,-0.48850062537149574,-0.004408271018258658
9,1test,feet,4,-0.4356637956800969,-0.12393872295616823
9,1test,tongue,1,1.2414862624422025,0.4138334925306018
9,1test,tongue,2,-0.7993966041220623,-0.08110443165322492
9,1test,tongue,3,-0.4694534387386605,0.03096978420179836
9,1test,tongue,4,-0.4851809095671066,-0.038970610652359475
