position_0,position_1,position_2,position_3,position_4,trial_uid
0,2,4,1,3,S01_1test_T034
1,0,2,3,4,S01_1test_T035
2,1,4,0,3,S01_1test_T036
1,0,4,2,3,S01_1test_T037
1,0,4,3,2,S01_1test_T038
0,1,3,4,2,S01_1test_T039
3,4,1,2,0,S01_1test_T040
0,2,3,1,4,S01_1test_T041
4,0,2,1,3,S01_1test_T042
2,3,4,1,0,S01_1test_T043
3,1,2,4,0,S01_1test_T044
3,0,2,1,4,S01_1test_T045
2,0,1,3,4,S01_1test_T046
4,2,3,0,1,S01_1test_T047
2,1,3,4,0,S01_1test_T048
4,0,1,2,3,S01_1test_T049
0,3,2,4,1,S01_1test_T050
2,3,1,4,0,S01_1test_T051
2,1,0,3,4,S01_1test_T052
2,0,1,3,4,S01_1test_T053
0,4,3,2,1,S01_1test_T054
1,3,2,4,0,S01_1test_T055
3,2,1,0,4,S01_1test_T056
1,3,4,0,2,S01_1test_T057
3,1,0,4,2,S01_1test_T058
3,0,4,2,1,S01_1test_T059
4,1,0,3,2,S01_1test_T060
4,1,2,3,0,S01_1test_T061
3,1,0,2,4,S01_1test_T062
4,0,3,2,1,S01_1test_T063
4,1,2,3,0,S01_1test_T064
0,2,3,1,4,S01_1test_T065
1,4,3,2,0,S01_1test_T066
3,2,0,1,4,S01_1test_T067
2,4,3,1,0,S01_1test_T068
2,1,4,0,3,S01_1test_T069
3,1,4,2,0,S01_1test_T070
4,0,2,3,1,S01_1test_T071
0,2,1,4,3,S01_1test_T072
0,3,1,2,4,S01_1test_T073
0,1,2,4,3,S01_1test_T074
2,3,1,4,0,S01_1test_T075
4,3,0,2,1,S01_1test_T076
0,1,3,2,4,S01_1test_T077
0,4,1,3,2,S01_1test_T078
1,3,2,4,0,S01_1test_T079
3,1,2,0,4,S01_1test_T080
3,1,0,2,4,S01_1test_T081
3,0,1,4,2,S01_1test_T082
4,1,3,2,0,S01_1test_T083
3,4,2,0,1,S01_1test_T084
4,0,1,2,3,S01_1test_T085
3,2,1,4,0,S01_1test_T086
1,3,4,2,0,S01_1test_T087
4,0,1,3,2,S01_1test_T088
4,2,0,1,3,S01_1test_T089
1,4,3,2,0,S01_1test_T090
1,3,2,0,4,S01_1test_T091
1,3,4,2,0,S01_1test_T092
2,1,3,4,0,S01_1test_T093
4,3,1,0,2,S01_1test_T094
4,2,1,3,0,S01_1test_T095
2,4,3,0,1,S01_1test_T096
2,0,3,1,4,S01_1test_T097
3,2,1,4,0,S01_1test_T098
0,1,4,3,2,S01_1test_T099
1,4,2,3,0,S01_1test_T100
1,3,0,2,4,S01_1test_T101
2,4,3,1,0,S01_1test_T102
4,3,2,1,0,S01_1test_T103
3,1,2,4,0,S01_1test_T104
3,2,0,1,4,S01_1test_T105
1,0,2,4,3,S01_1test_T106
2,4,1,3,0,S01_1test_T107
4,0,3,1,2,S01_1test_T108
2,1,3,0,4,S01_1test_T109
3,4,0,1,2,S01_1test_T110
1,0,2,3,4,S01_1test_T111
4,1,0,2,3,S01_1test_T112
2,0,3,4,1,S01_1test_T113
4,0,2,1,3,S01_1test_T114
2,0,1,4,3,S01_1test_T115
3,4,1,2,0,S01_1test_T116
2,4,3,1,0,S01_1test_T117
1,2,0,3,4,S01_1test_T118
4,1,3,2,0,S01_1test_T119
2,1,3,4,0,S01_1test_T120
1,2,4,0,3,S01_1test_T121
0,2,1,4,3,S01_1test_T122
2,1,4,0,3,S01_1test_T123
0,3,2,1,4,S01_1test_T124
1,4,0,2,3,S01_1test_T125
1,2,4,0,3,S01_1test_T126
0,4,2,1,3,S01_1test_T127
4,3,0,1,2,S01_1test_T128
4,3,1,2,0,S01_1test_T129
3,4,0,2,1,S01_1test_T130
1,2,4,0,3,S01_1test_T131
2,1,4,0,3,S01_1test_T132
1,0,2,4,3,S01_1test_T133
4,3,2,1,0,S01_1test_T134
3,2,0,4,1,S01_1test_T135
2,3,0,1,4,S01_1test_T136
4,3,0,1,2,S01_1test_T137
3,4,1,2,0,S01_1test_T138
4,0,3,2,1,S01_1test_T139
0,3,4,2,1,S01_1test_T140
2,0,4,3,1,S01_1test_T141
2,0,3,1,4,S01_1test_T142
0,4,1,2,3,S01_1test_T143
3,4,0,1,2,S01_1test_T144
3,4,1,0,2,S01_1test_T145
4,2,1,3,0,S01_1test_T146
3,1,4,2,0,S01_1test_T147
2,1,3,0,4,S01_1test_T148
4,0,2,3,1,S01_1test_T149
4,3,0,2,1,S01_1test_T150
1,3,0,2,4,S01_1test_T151
2,1,4,0,3,S01_1test_T152
4,3,0,1,2,S01_1test_T153
4,2,0,1,3,S01_1test_T154
1,2,4,3,0,S01_1test_T155
0,3,2,4,1,S01_1test_T156
3,4,2,1,0,S01_1test_T157
4,0,2,1,3,S01_1test_T158
3,0,4,2,1,S01_1test_T159
3,2,4,0,1,S01_1test_T160
3,0,2,1,4,S01_1test_T161
3,2,4,1,0,S01_1test_T162
0,2,4,1,3,S01_1test_T163
0,3,1,2,4,S01_1test_T164
2,0,4,3,1,S01_1test_T165
2,1,0,4,3,S01_1test_T166
0,1,4,3,2,S01_1test_T167
3,4,1,0,2,S01_1test_T168
2,3,0,4,1,S01_1test_T169
4,0,1,3,2,S01_1test_T170
0,2,3,1,4,S01_1test_T171
2,4,1,3,0,S01_1test_T172
1,0,3,2,4,S01_1test_T173
2,0,3,4,1,S01_1test_T174
2,1,3,0,4,S01_1test_T175
3,1,2,4,0,S01_1test_T176
4,0,3,1,2,S01_1test_T177
3,4,2,0,1,S01_1test_T178
1,2,3,4,0,S01_1test_T179
0,2,1,4,3,S01_1test_T180
2,3,4,1,0,S01_1test_T181
0,4,3,2,1,S01_1test_T182
4,0,3,2,1,S01_1test_T183
1,2,4,0,3,S01_1test_T184
1,0,2,4,3,S01_1test_T185
0,1,3,2,4,S01_1test_T186
4,1,3,2,0,S01_1test_T187
4,0,2,1,3,S01_1test_T188
3,1,4,2,0,S01_1test_T189
2,4,0,1,3,S01_1test_T190
4,2,0,1,3,S01_1test_T191
0,2,4,3,1,S01_1test_T192
4,1,3,2,0,S01_1test_T193
1,4,3,2,0,S01_1test_T194
1,2,3,4,0,S01_1test_T195
0,3,1,4,2,S01_1test_T196
2,3,4,0,1,S01_1test_T197
4,0,2,1,3,S01_1test_T198
3,4,2,1,0,S01_1test_T199
4,2,3,1,0,S01_1test_T200
0,4,2,1,3,S01_1test_T201
1,2,3,0,4,S01_1test_T202
1,4,3,2,0,S01_1test_T203
3,0,4,2,1,S01_1test_T204
0,2,1,4,3,S01_1test_T205
4,3,0,1,2,S01_1test_T206
2,4,0,3,1,S01_1test_T207
0,2,1,3,4,S01_1test_T208
0,4,2,1,3,S01_1test_T209
3,2,4,1,0,S01_1test_T210
4,0,2,3,1,S01_1test_T211
4,2,0,3,1,S01_1test_T212
2,1,4,3,0,S01_1test_T213
3,4,2,0,1,S01_1test_T214
2,3,4,1,0,S01_1test_T215
1,2,3,4,0,S01_1test_T216
2,4,0,3,1,S01_1test_T217
0,2,1,3,4,S01_1test_T218
2,4,3,0,1,S01_1test_T219
0,2,4,1,3,S01_1test_T220
2,3,0,1,4,S01_1test_T221
1,3,4,0,2,S01_1test_T222
4,3,2,0,1,S01_1test_T223
0,2,4,1,3,S01_1test_T224
0,3,2,4,1,S01_1test_T225
1,0,4,2,3,S01_1test_T226
2,3,4,0,1,S01_1test_T227
4,3,2,1,0,S01_1test_T228
2,3,4,1,0,S01_1test_T229
3,4,2,1,0,S01_1test_T230
2,0,4,1,3,S01_1test_T231
4,3,0,2,1,S01_1test_T232
2,3,1,4,0,S01_1test_T233
1,0,4,2,3,S01_1test_T234
3,2,1,4,0,S01_1test_T235
4,1,2,3,0,S01_1test_T236
2,1,3,4,0,S01_1test_T237
4,0,2,3,1,S01_1test_T238
3,0,2,4,1,S01_1test_T239
3,4,0,2,1,S01_1test_T240
1,3,0,2,4,S01_1test_T241
2,3,1,4,0,S01_1test_T242
1,4,2,3,0,S01_1test_T243
2,1,4,0,3,S01_1test_T244
0,3,4,1,2,S01_1test_T245
3,4,2,1,0,S01_1test_T246
3,4,0,2,1,S01_1test_T247
1,0,2,4,3,S01_1test_T248
4,2,3,1,0,S01_1test_T249
0,2,1,4,3,S01_1test_T250
1,0,2,4,3,S01_1test_T251
1,0,2,3,4,S01_1test_T252
2,3,1,4,0,S01_1test_T253
0,1,4,3,2,S01_1test_T254
3,2,4,1,0,S01_1test_T255
1,3,4,0,2,S01_1test_T256
0,4,2,1,3,S01_1test_T257
2,0,1,3,4,S01_1test_T258
0,4,1,3,2,S01_1test_T259
4,3,0,2,1,S01_1test_T260
2,3,4,1,0,S01_1test_T261
4,0,3,1,2,S01_1test_T262
1,0,3,4,2,S01_1test_T263
1,2,0,3,4,S01_1test_T264
2,0,4,1,3,S01_1test_T265
2,3,1,0,4,S01_1test_T266
4,3,1,2,0,S01_1test_T267
1,4,2,3,0,S01_1test_T268
0,1,4,3,2,S01_1test_T269
3,0,1,2,4,S01_1test_T270
2,1,4,3,0,S01_1test_T271
1,2,4,0,3,S01_1test_T272
3,0,2,1,4,S01_1test_T273
3,4,2,0,1,S01_1test_T274
1,3,0,4,2,S01_1test_T275
0,2,3,1,4,S01_1test_T276
3,4,0,2,1,S01_1test_T277
4,0,3,2,1,S01_1test_T278
3,2,0,4,1,S01_1test_T279
0,2,4,3,1,S01_1test_T280
1,2,3,0,4,S01_1test_T281
0,3,2,4,1,S01_1test_T282
4,1,3,0,2,S01_1test_T283
0,2,3,1,4,S01_1test_T284
4,3,0,2,1,S01_1test_T285
0,2,1,3,4,S01_1test_T286
1,2,0,4,3,S01_1test_T287
3,1,2,0,4,S01_1test_T288
0,2,4,1,3,S02_0train_T001
1,2,4,3,0,S02_0train_T002
4,3,0,1,2,S02_0train_T003
4,1,3,0,2,S02_0train_T004
2,4,3,0,1,S02_0train_T005
3,0,1,4,2,S02_0train_T006
4,3,0,1,2,S02_0train_T007
2,3,0,1,4,S02_0train_T008
3,2,1,4,0,S02_0train_T009
3,1,2,4,0,S02_0train_T010
1,3,4,0,2,S02_0train_T011
2,0,1,4,3,S02_0train_T012
2,1,0,4,3,S02_0train_T013
4,3,0,2,1,S02_0train_T014
3,2,1,0,4,S02_0train_T015
2,3,4,0,1,S02_0train_T016
2,0,4,1,3,S02_0train_T017
0,4,2,1,3,S02_0train_T018
1,0,3,4,2,S02_0train_T019
2,3,4,0,1,S02_0train_T020
0,4,3,2,1,S02_0train_T021
4,1,2,3,0,S02_0train_T022
4,3,2,0,1,S02_0train_T023
1,2,0,4,3,S02_0train_T024
0,1,4,2,3,S02_0train_T025
4,3,0,1,2,S02_0train_T026
1,3,2,4,0,S02_0train_T027
1,2,3,0,4,S02_0train_T028
1,2,3,0,4,S02_0train_T029
4,3,0,1,2,S02_0train_T030
0,2,4,3,1,S02_0train_T031
1,2,0,4,3,S02_0train_T032
2,4,0,3,1,S02_0train_T033
1,2,0,4,3,S02_0train_T034
2,3,4,1,0,S02_0train_T035
4,2,1,3,0,S02_0train_T036
0,4,1,2,3,S02_0train_T037
0,1,4,2,3,S02_0train_T038
2,3,4,1,0,S02_0train_T039
3,2,1,0,4,S02_0train_T040
1,2,3,4,0,S02_0train_T041
4,0,2,1,3,S02_0train_T042
4,1,0,2,3,S02_0train_T043
2,3,4,1,0,S02_0train_T044
4,1,3,0,2,S02_0train_T045
3,4,1,2,0,S02_0train_T046
2,1,4,3,0,S02_0train_T047
1,4,3,0,2,S02_0train_T048
4,2,0,3,1,S02_0train_T049
4,1,2,0,3,S02_0train_T050
1,0,3,4,2,S02_0train_T051
2,0,1,4,3,S02_0train_T052
3,4,1,2,0,S02_0train_T053
4,1,0,3,2,S02_0train_T054
1,2,4,0,3,S02_0train_T055
0,2,1,4,3,S02_0train_T056
0,4,1,3,2,S02_0train_T057
1,4,0,2,3,S02_0train_T058
1,0,3,2,4,S02_0train_T059
3,4,2,1,0,S02_0train_T060
1,0,2,4,3,S02_0train_T061
3,2,0,4,1,S02_0train_T062
3,4,2,1,0,S02_0train_T063
3,0,4,2,1,S02_0train_T064
3,1,0,4,2,S02_0train_T065
4,0,1,2,3,S02_0train_T066
2,0,3,1,4,S02_0train_T067
0,2,1,4,3,S02_0train_T068
3,0,4,1,2,S02_0train_T069
1,2,4,0,3,S02_0train_T070
1,0,3,4,2,S02_0train_T071
1,2,0,4,3,S02_0train_T072
4,0,1,2,3,S02_0train_T073
2,1,0,4,3,S02_0train_T074
0,2,1,4,3,S02_0train_T075
3,4,2,0,1,S02_0train_T076
3,4,0,2,1,S02_0train_T077
1,3,2,4,0,S02_0train_T078
4,1,3,0,2,S02_0train_T079
4,3,2,1,0,S02_0train_T080
2,1,4,0,3,S02_0train_T081
3,4,0,1,2,S02_0train_T082
3,0,2,1,4,S02_0train_T083
2,1,3,0,4,S02_0train_T084
0,4,1,2,3,S02_0train_T085
3,2,1,4,0,S02_0train_T086
0,2,4,3,1,S02_0train_T087
3,0,4,1,2,S02_0train_T088
3,4,1,0,2,S02_0train_T089
3,0,2,1,4,S02_0train_T090
0,1,2,4,3,S02_0train_T091
2,0,1,4,3,S02_0train_T092
4,2,0,3,1,S02_0train_T093
4,1,3,2,0,S02_0train_T094
3,0,1,2,4,S02_0train_T095
2,3,0,4,1,S02_0train_T096
0,2,4,3,1,S02_0train_T097
1,3,0,4,2,S02_0train_T098
1,3,0,4,2,S02_0train_T099
0,1,4,2,3,S02_0train_T100
4,0,1,2,3,S02_0train_T101
0,2,1,4,3,S02_0train_T102
2,0,4,1,3,S02_0train_T103
0,2,1,4,3,S02_0train_T104
2,3,4,0,1,S02_0train_T105
1,0,3,4,2,S02_0train_T106
1,2,0,3,4,S02_0train_T107
0,1,3,2,4,S02_0train_T108
3,0,2,1,4,S02_0train_T109
1,0,4,2,3,S02_0train_T110
4,2,0,1,3,S02_0train_T111
3,1,4,2,0,S02_0train_T112
1,2,0,4,3,S02_0train_T113
2,1,3,0,4,S02_0train_T114
1,0,4,2,3,S02_0train_T115
1,4,2,3,0,S02_0train_T116
1,0,4,2,3,S02_0train_T117
4,2,3,1,0,S02_0train_T118
2,0,4,3,1,S02_0train_T119
3,1,2,4,0,S02_0train_T120
2,4,1,3,0,S02_0train_T121
2,0,4,1,3,S02_0train_T122
0,1,2,4,3,S02_0train_T123
0,2,1,4,3,S02_0train_T124
3,0,4,1,2,S02_0train_T125
2,3,0,4,1,S02_0train_T126
2,1,0,3,4,S02_0train_T127
3,0,1,2,4,S02_0train_T128
2,3,4,1,0,S02_0train_T129
3,2,1,0,4,S02_0train_T130
0,2,3,4,1,S02_0train_T131
3,1,2,0,4,S02_0train_T132
0,2,1,3,4,S02_0train_T133
0,2,3,1,4,S02_0train_T134
4,2,1,0,3,S02_0train_T135
3,4,0,1,2,S02_0train_T136
4,1,3,2,0,S02_0train_T137
3,2,1,0,4,S02_0train_T138
1,0,3,4,2,S02_0train_T139
3,1,0,2,4,S02_0train_T140
0,1,3,4,2,S02_0train_T141
4,0,3,1,2,S02_0train_T142
1,4,3,2,0,S02_0train_T143
0,2,1,4,3,S02_0train_T144
4,0,2,1,3,S02_0train_T145
1,3,0,4,2,S02_0train_T146
2,0,1,4,3,S02_0train_T147
0,3,2,1,4,S02_0train_T148
3,4,0,2,1,S02_0train_T149
4,0,1,3,2,S02_0train_T150
3,0,4,1,2,S02_0train_T151
3,2,1,0,4,S02_0train_T152
3,1,4,2,0,S02_0train_T153
1,2,3,0,4,S02_0train_T154
2,1,3,0,4,S02_0train_T155
0,4,2,1,3,S02_0train_T156
0,3,4,2,1,S02_0train_T157
3,0,2,1,4,S02_0train_T158
