sample_index,subject,session,run,trial_id,run_trial_id,trial_uid,class_label
109,1,0train,2,110,14,S01_0train_T110,right_hand
110,1,0train,2,111,15,S01_0train_T111,left_hand
111,1,0train,2,112,16,S01_0train_T112,feet
112,1,0train,2,113,17,S01_0train_T113,right_hand
113,1,0train,2,114,18,S01_0train_T114,tongue
114,1,0train,2,115,19,S01_0train_T115,left_hand
115,1,0train,2,116,20,S01_0train_T116,tongue
116,1,0train,2,117,21,S01_0train_T117,feet
117,1,0train,2,118,22,S01_0train_T118,right_hand
118,1,0train,2,119,23,S01_0train_T119,tongue
119,1,0train,2,120,24,S01_0train_T120,tongue
120,1,0train,2,121,25,S01_0train_T121,left_hand
121,1,0train,2,122,26,S01_0train_T122,right_hand
122,1,0train,2,123,27,S01_0train_T123,right_hand
123,1,0train,2,124,28,S01_0train_T124,feet
124,1,0train,2,125,29,S01_0train_T125,tongue
125,1,0train,2,126,30,S01_0train_T126,right_hand
126,1,0train,2,127,31,S01_0train_T127,left_hand
127,1,0train,2,128,32,S01_0train_T128,left_hand
128,1,0train,2,129,33,S01_0train_T129,tongue
129,1,0train,2,130,34,S01_0train_T130,right_hand
130,1,0train,2,131,35,S01_0train_T131,left_hand
131,1,0train,2,132,36,S01_0train_T132,feet
132,1,0train,2,133,37,S01_0train_T133,right_hand
133,1,0train,2,134,38,S01_0train_T134,right_hand
134,1,0train,2,135,39,S01_0train_T135,feet
135,1,0train,2,136,40,S01_0train_T136,left_hand
136,1,0train,2,137,41,S01_0train_T137,tongue
137,1,0train,2,138,42,S01_0train_T138,feet
138,1,0train,2,139,43,S01_0train_T139,feet
139,1,0train,2,140,44,S01_0train_T140,feet
140,1,0train,2,141,45,S01_0train_T141,feet
141,1,0train,2,142,46,S01_0train_T142,left_hand
142,1,0train,2,143,47,S01_0train_T143,right_hand
143,1,0train,2,144,48,S01_0train_T144,left_hand
144,1,0train,3,145,1,S01_0train_T145,right_hand
145,1,0train,3,146,2,S01_0train_T146,left_hand
146,1,0train,3,147,3,S01_0train_T147,left_hand
147,1,0train,3,148,4,S01_0train_T148,feet
148,1,0train,3,149,5,S01_0train_T149,feet
149,1,0train,3,150,6,S01_0train_T150,right_hand
150,1,0train,3,151,7,S01_0train_T151,feet
151,1,0train,3,152,8,S01_0train_T152,tongue
152,1,0train,3,153,9,S01_0train_T153,left_hand
153,1,0train,3,154,10,S01_0train_T154,tongue
154,1,0train,3,155,11,S01_0train_T155,left_hand
155,1,0train,3,156,12,S01_0train_T156,left_hand
156,1,0train,3,157,13,S01_0train_T157,right_hand
157,1,0train,3,158,14,S01_0train_T158,tongue
158,1,0train,3,159,15,S01_0train_T159,feet
159,1,0train,3,160,16,S01_0train_T160,right_hand
160,1,0train,3,161,17,S01_0train_T161,tongue
161,1,0train,3,162,18,S01_0train_T162,feet
162,1,0train,3,163,19,S01_0train_T163,tongue
163,1,0train,3,164,20,S01_0train_T164,feet
164,1,0train,3,165,21,S01_0train_T165,tongue
165,1,0train,3,166,22,S01_0train_T166,right_hand
166,1,0train,3,167,23,S01_0train_T167,right_hand
167,1,0train,3,168,24,S01_0train_T168,tongue
168,1,0train,3,169,25,S01_0train_T169,left_hand
169,1,0train,3,170,26,S01_0train_T170,right_hand
170,1,0train,3,171,27,S01_0train_T171,right_hand
171,1,0train,3,172,28,S01_0train_T172,right_hand
172,1,0train,3,173,29,S01_0train_T173,feet
173,1,0train,3,174,30,S01_0train_T174,tongue
174,1,0train,3,175,31,S01_0train_T175,left_hand
175,1,0train,3,176,32,S01_0train_T176,tongue
176,1,0train,3,177,33,S01_0train_T177,left_hand
177,1,0train,3,178,34,S01_0train_T178,feet
178,1,0train,3,179,35,S01_0train_T179,left_hand
179,1,0train,3,180,36,S01_0train_T180,tongue
180,1,0train,3,181,37,S01_0train_T181,left_hand
181,1,0train,3,182,38,S01_0train_T182,feet
182,1,0train,3,183,39,S01_0train_T183,left_hand
183,1,0train,3,184,40,S01_0train_T184,right_hand
184,1,0train,3,185,41,S01_0train_T185,feet
185,1,0train,3,186,42,S01_0train_T186,feet
186,1,0train,3,187,43,S01_0train_T187,tongue
187,1,0train,3,188,44,S01_0train_T188,left_hand
188,1,0train,3,189,45,S01_0train_T189,right_hand
189,1,0train,3,190,46,S01_0train_T190,tongue
190,1,0train,3,191,47,S01_0train_T191,right_hand
191,1,0train,3,192,48,S01_0train_T192,feet
192,1,0train,4,193,1,S01_0train_T193,feet
193,1,0train,4,194,2,S01_0train_T194,left_hand
194,1,0train,4,195,3,S01_0train_T195,tongue
195,1,0train,4,196,4,S01_0train_T196,right_hand
196,1,0train,4,197,5,S01_0train_T197,tongue
197,1,0train,4,198,6,S01_0train_T198,left_hand
198,1,0train,4,199,7,S01_0train_T199,left_hand
199,1,0train,4,200,8,S01_0train_T200,feet
200,1,0train,4,201,9,S01_0train_T201,feet
201,1,0train,4,202,10,S01_0train_T202,right_hand
202,1,0train,4,203,11,S01_0train_T203,tongue
203,1,0train,4,204,12,S01_0train_T204,right_hand
204,1,0train,4,205,13,S01_0train_T205,right_hand
205,1,0train,4,206,14,S01_0train_T206,left_hand
206,1,0train,4,207,15,S01_0train_T207,right_hand
207,1,0train,4,208,16,S01_0train_T208,tongue
208,1,0train,4,209,17,S01_0train_T209,tongue
209,1,0train,4,210,18,S01_0train_T210,right_hand
210,1,0train,4,211,19,S01_0train_T211,right_hand
211,1,0train,4,212,20,S01_0train_T212,right_hand
212,1,0train,4,213,21,S01_0train_T213,right_hand
213,1,0train,4,214,22,S01_0train_T214,tongue
214,1,0train,4,215,23,S01_0train_T215,tongue
215,1,0train,4,216,24,S01_0train_T216,feet
216,1,0train,4,217,25,S01_0train_T217,tongue
217,1,0train,4,218,26,S01_0train_T218,left_hand
218,1,0train,4,219,27,S01_0train_T219,right_hand
219,1,0train,4,220,28,S01_0train_T220,feet
220,1,0train,4,221,29,S01_0train_T221,right_hand
221,1,0train,4,222,30,S01_0train_T222,left_hand
222,1,0train,4,223,31,S01_0train_T223,tongue
223,1,0train,4,224,32,S01_0train_T224,left_hand
224,1,0train,4,225,33,S01_0train_T225,tongue
225,1,0train,4,226,34,S01_0train_T226,left_hand
226,1,0train,4,227,35,S01_0train_T227,left_hand
227,1,0train,4,228,36,S01_0train_T228,left_hand
228,1,0train,4,229,37,S01_0train_T229,left_hand
229,1,0train,4,230,38,S01_0train_T230,feet
230,1,0train,4,231,39,S01_0train_T231,feet
231,1,0train,4,232,40,S01_0train_T232,tongue
232,1,0train,4,233,41,S01_0train_T233,right_hand
233,1,0train,4,234,42,S01_0train_T234,feet
234,1,0train,4,235,43,S01_0train_T235,feet
235,1,0train,4,236,44,S01_0train_T236,feet
236,1,0train,4,237,45,S01_0train_T237,tongue
237,1,0train,4,238,46,S01_0train_T238,feet
238,1,0train,4,239,47,S01_0train_T239,left_hand
239,1,0train,4,240,48,S01_0train_T240,feet
240,1,0train,5,241,1,S01_0train_T241,left_hand
241,1,0train,5,242,2,S01_0train_T242,tongue
242,1,0train,5,243,3,S01_0train_T243,right_hand
243,1,0train,5,244,4,S01_0train_T244,tongue
244,1,0train,5,245,5,S01_0train_T245,tongue
245,1,0train,5,246,6,S01_0train_T246,feet
246,1,0train,5,247,7,S01_0train_T247,tongue
247,1,0train,5,248,8,S01_0train_T248,tongue
248,1,0train,5,249,9,S01_0train_T249,feet
249,1,0train,5,250,10,S01_0train_T250,right_hand
250,1,0train,5,251,11,S01_0train_T251,tongue
251,1,0train,5,252,12,S01_0train_T252,feet
252,1,0train,5,253,13,S01_0train_T253,left_hand
253,1,0train,5,254,14,S01_0train_T254,right_hand
254,1,0train,5,255,15,S01_0train_T255,right_hand
255,1,0train,5,256,16,S01_0train_T256,right_hand
256,1,0train,5,257,17,S01_0train_T257,feet
257,1,0train,5,258,18,S01_0train_T258,right_hand
258,1,0train,5,259,19,S01_0train_T259,tongue
259,1,0train,5,260,20,S01_0train_T260,feet
260,1,0train,5,261,21,S01_0train_T261,tongue
261,1,0train,5,262,22,S01_0train_T262,right_hand
262,1,0train,5,263,23,S01_0train_T263,feet
263,1,0train,5,264,24,S01_0train_T264,left_hand
264,1,0train,5,265,25,S01_0train_T265,tongue
265,1,0train,5,266,26,S01_0train_T266,left_hand
266,1,0train,5,267,27,S01_0train_T267,feet
267,1,0train,5,268,28,S01_0train_T268,tongue
268,1,0train,5,269,29,S01_0train_T269,left_hand
269,1,0train,5,270,30,S01_0train_T270,feet
270,1,0train,5,271,31,S01_0train_T271,left_hand
271,1,0train,5,272,32,S01_0train_T272,right_hand
272,1,0train,5,273,33,S01_0train_T273,right_hand
273,1,0train,5,274,34,S01_0train_T274,left_hand
274,1,0train,5,275,35,S01_0train_T275,tongue
275,1,0train,5,276,36,S01_0train_T276,left_hand
276,1,0train,5,277,37,S01_0train_T277,tongue
277,1,0train,5,278,38,S01_0train_T278,feet
278,1,0train,5,279,39,S01_0train_T279,feet
279,1,0train,5,280,40,S01_0train_T280,left_hand
280,1,0train,5,281,41,S01_0train_T281,feet
281,1,0train,5,282,42,S01_0train_T282,right_hand
282,1,0train,5,283,43,S01_0train_T283,right_hand
283,1,0train,5,284,44,S01_0train_T284,left_hand
284,1,0train,5,285,45,S01_0train_T285,feet
285,1,0train,5,286,46,S01_0train_T286,left_hand
286,1,0train,5,287,47,S01_0train_T287,right_hand
287,1,0train,5,288,48,S01_0train_T288,left_hand
288,2,0train,0,1,1,S02_0train_T001,left_hand
289,2,0train,0,2,2,S02_0train_T002,right_hand
290,2,0train,0,3,3,S02_0train_T003,right_hand
291,2,0train,0,4,4,S02_0train_T004,left_hand
292,2,0train,0,5,5,S02_0train_T005,right_hand
293,2,0train,0,6,6,S02_0train_T006,left_hand
294,2,0train,0,7,7,S02_0train_T007,right_hand
295,2,0train,0,8,8,S02_0train_T008,feet
296,2,0train,0,9,9,S02_0train_T009,right_hand
297,2,0train,0,10,10,S02_0train_T010,tongue
298,2,0train,0,11,11,S02_0train_T011,left_hand
299,2,0train,0,12,12,S02_0train_T012,feet
300,2,0train,0,13,13,S02_0train_T013,right_hand
301,2,0train,0,14,14,S02_0train_T014,left_hand
302,2,0train,0,15,15,S02_0train_T015,tongue
303,2,0train,0,16,16,S02_0train_T016,tongue
304,2,0train,0,17,17,S02_0train_T017,tongue
305,2,0train,0,18,18,S02_0train_T018,tongue
306,2,0train,0,19,19,S02_0train_T019,tongue
307,2,0train,0,20,20,S02_0train_T020,left_hand
308,2,0train,0,21,21,S02_0train_T021,feet
309,2,0train,0,22,22,S02_0train_T022,right_hand
310,2,0train,0,23,23,S02_0train_T023,left_hand
311,2,0train,0,24,24,S02_0train_T024,left_hand
312,2,0train,0,25,25,S02_0train_T025,feet
313,2,0train,0,26,26,S02_0train_T026,tongue
314,2,0train,0,27,27,S02_0train_T027,left_hand
315,2,0train,0,28,28,S02_0train_T028,feet
316,2,0train,0,29,29,S02_0train_T029,feet
317,2,0train,0,30,30,S02_0train_T030,feet
318,2,0train,0,31,31,S02_0train_T031,left_hand
319,2,0train,0,32,32,S02_0train_T032,right_hand
320,2,0train,0,33,33,S02_0train_T033,left_hand
321,2,0train,0,34,34,S02_0train_T034,right_hand
322,2,0train,0,35,35,S02_0train_T035,right_hand
323,2,0train,0,36,36,S02_0train_T036,left_hand
324,2,0train,0,37,37,S02_0train_T037,right_hand
325,2,0train,0,38,38,S02_0train_T038,feet
326,2,0train,0,39,39,S02_0train_T039,right_hand
327,2,0train,0,40,40,S02_0train_T040,feet
328,2,0train,0,41,41,S02_0train_T041,feet
329,2,0train,0,42,42,S02_0train_T042,tongue
330,2,0train,0,43,43,S02_0train_T043,feet
331,2,0train,0,44,44,S02_0train_T044,feet
332,2,0train,0,45,45,S02_0train_T045,tongue
333,2,0train,0,46,46,S02_0train_T046,tongue
334,2,0train,0,47,47,S02_0train_T047,tongue
335,2,0train,0,48,48,S02_0train_T048,tongue
336,2,0train,1,49,1,S02_0train_T049,tongue
337,2,0train,1,50,2,S02_0train_T050,feet
338,2,0train,1,51,3,S02_0train_T051,right_hand
339,2,0train,1,52,4,S02_0train_T052,left_hand
340,2,0train,1,53,5,S02_0train_T053,left_hand
341,2,0train,1,54,6,S02_0train_T054,right_hand
342,2,0train,1,55,7,S02_0train_T055,feet
343,2,0train,1,56,8,S02_0train_T056,tongue
344,2,0train,1,57,9,S02_0train_T057,right_hand
345,2,0train,1,58,10,S02_0train_T058,feet
346,2,0train,1,59,11,S02_0train_T059,left_hand
347,2,0train,1,60,12,S02_0train_T060,left_hand
348,2,0train,1,61,13,S02_0train_T061,left_hand
349,2,0train,1,62,14,S02_0train_T062,tongue
350,2,0train,1,63,15,S02_0train_T063,right_hand
351,2,0train,1,64,16,S02_0train_T064,right_hand
352,2,0train,1,65,17,S02_0train_T065,left_hand
353,2,0train,1,66,18,S02_0train_T066,left_hand
354,2,0train,1,67,19,S02_0train_T067,feet
355,2,0train,1,68,20,S02_0train_T068,left_hand
356,2,0train,1,69,21,S02_0train_T069,right_hand
357,2,0train,1,70,22,S02_0train_T070,tongue
358,2,0train,1,71,23,S02_0train_T071,tongue
359,2,0train,1,72,24,S02_0train_T072,feet
360,2,0train,1,73,25,S02_0train_T073,left_hand
361,2,0train,1,74,26,S02_0train_T074,tongue
362,2,0train,1,75,27,S02_0train_T075,tongue
363,2,0train,1,76,28,S02_0train_T076,right_hand
364,2,0train,1,77,29,S02_0train_T077,tongue
365,2,0train,1,78,30,S02_0train_T078,tongue
366,2,0train,1,79,31,S02_0train_T079,right_hand
367,2,0train,1,80,32,S02_0train_T080,left_hand
368,2,0train,1,81,33,S02_0train_T081,right_hand
369,2,0train,1,82,34,S02_0train_T082,feet
370,2,0train,1,83,35,S02_0train_T083,feet
371,2,0train,1,84,36,S02_0train_T084,feet
372,2,0train,1,85,37,S02_0train_T085,tongue
373,2,0train,1,86,38,S02_0train_T086,feet
374,2,0train,1,87,39,S02_0train_T087,left_hand
375,2,0train,1,88,40,S02_0train_T088,tongue
376,2,0train,1,89,41,S02_0train_T089,right_hand
377,2,0train,1,90,42,S02_0train_T090,feet
378,2,0train,1,91,43,S02_0train_T091,right_hand
379,2,0train,1,92,44,S02_0train_T092,feet
380,2,0train,1,93,45,S02_0train_T093,tongue
381,2,0train,1,94,46,S02_0train_T094,right_hand
382,2,0train,1,95,47,S02_0train_T095,feet
383,2,0train,1,96,48,S02_0train_T096,left_hand
384,2,0train,2,97,1,S02_0train_T097,left_hand
385,2,0train,2,98,2,S02_0train_T098,left_hand
386,2,0train,2,99,3,S02_0train_T099,tongue
387,2,0train,2,100,4,S02_0train_T100,right_hand
388,2,0train,2,101,5,S02_0train_T101,left_hand
389,2,0train,2,102,6,S02_0train_T102,feet
390,2,0train,2,103,7,S02_0train_T103,left_hand
391,2,0train,2,104,8,S02_0train_T104,feet
392,2,0train,2,105,9,S02_0train_T105,right_hand
393,2,0train,2,106,10,S02_0train_T106,tongue
394,2,0train,2,107,11,S02_0train_T107,left_hand
395,2,0train,2,108,12,S02_0train_T108,feet
396,2,0train,2,109,13,S02_0train_T109,feet
397,2,0train,2,110,14,S02_0train_T110,left_hand
398,2,0train,2,111,15,S02_0train_T111,feet
399,2,0train,2,112,16,S02_0train_T112,right_hand
400,2,0train,2,113,17,S02_0train_T113,tongue
401,2,0train,2,114,18,S02_0train_T114,tongue
402,2,0train,2,115,19,S02_0train_T115,tongue
403,2,0train,2,116,20,S02_0train_T116,feet
404,2,0train,2,117,21,S02_0train_T117,left_hand
405,2,0train,2,118,22,S02_0train_T118,tongue
406,2,0train,2,119,23,S02_0train_T119,right_hand
407,2,0train,2,120,24,S02_0train_T120,tongue
408,2,0train,2,121,25,S02_0train_T121,right_hand
409,2,0train,2,122,26,S02_0train_T122,left_hand
410,2,0train,2,123,27,S02_0train_T123,feet
411,2,0train,2,124,28,S02_0train_T124,right_hand
412,2,0train,2,125,29,S02_0train_T125,left_hand
413,2,0train,2,126,30,S02_0train_T126,feet
414,2,0train,2,127,31,S02_0train_T127,feet
415,2,0train,2,128,32,S02_0train_T128,left_hand
416,2,0train,2,129,33,S02_0train_T129,feet
417,2,0train,2,130,34,S02_0train_T130,tongue
418,2,0train,2,131,35,S02_0train_T131,tongue
419,2,0train,2,132,36,S02_0train_T132,right_hand
420,2,0train,2,133,37,S02_0train_T133,left_hand
421,2,0train,2,134,38,S02_0train_T134,right_hand
422,2,0train,2,135,39,S02_0train_T135,tongue
423,2,0train,2,136,40,S02_0train_T136,right_hand
424,2,0train,2,137,41,S02_0train_T137,tongue
425,2,0train,2,138,42,S02_0train_T138,feet
426,2,0train,2,139,43,S02_0train_T139,right_hand
427,2,0train,2,140,44,S02_0train_T140,right_hand
428,2,0train,2,141,45,S02_0train_T141,right_hand
429,2,0train,2,142,46,S02_0train_T142,feet
430,2,0train,2,143,47,S02_0train_T143,tongue
431,2,0train,2,144,48,S02_0train_T144,left_hand
432,2,0train,3,145,1,S02_0train_T145,right_hand
433,2,0train,3,146,2,S02_0train_T146,tongue
434,2,0train,3,147,3,S02_0train_T147,left_hand
435,2,0train,3,148,4,S02_0train_T148,feet
436,2,0train,3,149,5,S02_0train_T149,feet
437,2,0train,3,150,6,S02_0train_T150,tongue
438,2,0train,3,151,7,S02_0train_T151,left_hand
439,2,0train,3,152,8,S02_0train_T152,left_hand
440,2,0train,3,153,9,S02_0train_T153,feet
441,2,0train,3,154,10,S02_0train_T154,right_hand
442,2,0train,3,155,11,S02_0train_T155,tongue
443,2,0train,3,156,12,S02_0train_T156,tongue
444,2,0train,3,157,13,S02_0train_T157,tongue
445,2,0train,3,158,14,S02_0train_T158,right_hand
446,2,0train,3,159,15,S02_0train_T159,left_hand
447,2,0train,3,160,16,S02_0train_T160,feet
448,2,0train,3,161,17,S02_0train_T161,right_hand
449,2,0train,3,162,18,S02_0train_T162,tongue
450,2,0train,3,163,19,S02_0train_T163,left_hand
451,2,0train,3,164,20,S02_0train_T164,tongue
452,2,0train,3,165,21,S02_0train_T165,feet
453,2,0train,3,166,22,S02_0train_T166,right_hand
454,2,0train,3,167,23,S02_0train_T167,tongue
455,2,0train,3,168,24,S02_0train_T168,tongue
456,2,0train,3,169,25,S02_0train_T169,left_hand
457,2,0train,3,170,26,S02_0train_T170,right_hand
458,2,0train,3,171,27,S02_0train_T171,right_hand
459,2,0train,3,172,28,S02_0train_T172,feet
460,2,0train,3,173,29,S02_0train_T173,tongue
461,2,0train,3,174,30,S02_0train_T174,right_hand
462,2,0train,3,175,31,S02_0train_T175,left_hand
463,2,0train,3,176,32,S02_0train_T176,left_hand
464,2,0train,3,177,33,S02_0train_T177,tongue
465,2,0train,3,178,34,S02_0train_T178,right_hand
466,2,0train,3,179,35,S02_0train_T179,left_hand
467,2,0train,3,180,36,S02_0train_T180,feet
468,2,0train,3,181,37,S02_0train_T181,right_hand
469,2,0train,3,182,38,S02_0train_T182,right_hand
470,2,0train,3,183,39,S02_0train_T183,feet
471,2,0train,3,184,40,S02_0train_T184,left_hand
472,2,0train,3,185,41,S02_0train_T185,tongue
473,2,0train,3,186,42,S02_0train_T186,feet
474,2,0train,3,187,43,S02_0train_T187,feet
475,2,0train,3,188,44,S02_0train_T188,feet
476,2,0train,3,189,45,S02_0train_T189,feet
477,2,0train,3,190,46,S02_0train_T190,left_hand
478,2,0train,3,191,47,S02_0train_T191,right_hand
479,2,0train,3,192,48,S02_0train_T192,left_hand
480,2,0train,4,193,1,S02_0train_T193,right_hand
481,2,0train,4,194,2,S02_0train_T194,left_hand
482,2,0train,4,195,3,S02_0train_T195,left_hand
483,2,0train,4,196,4,S02_0train_T196,feet
484,2,0train,4,197,5,S02_0train_T197,feet
485,2,0train,4,198,6,S02_0train_T198,right_hand
486,2,0train,4,199,7,S02_0train_T199,feet
487,2,0train,4,200,8,S02_0train_T200,tongue
488,2,0train,4,201,9,S02_0train_T201,left_hand
489,2,0train,4,202,10,S02_0train_T202,tongue
490,2,0train,4,203,11,S02_0train_T203,left_hand
491,2,0train,4,204,12,S02_0train_T204,left_hand
492,2,0train,4,205,13,S02_0train_T205,right_hand
493,2,0train,4,206,14,S02_0train_T206,tongue
494,2,0train,4,207,15,S02_0train_T207,feet
495,2,0train,4,208,16,S02_0train_T208,right_hand
496,2,0train,4,209,17,S02_0train_T209,tongue
497,2,0train,4,210,18,S02_0train_T210,feet
498,2,0train,4,211,19,S02_0train_T211,tongue
499,2,0train,4,212,20,S02_0train_T212,feet
500,2,0train,4,213,21,S02_0train_T213,tongue
501,2,0train,4,214,22,S02_0train_T214,right_hand
502,2,0train,4,215,23,S02_0train_T215,right_hand
503,2,0train,4,216,24,S02_0train_T216,tongue
504,2,0train,4,217,25,S02_0train_T217,left_hand
505,2,0train,4,218,26,S02_0train_T218,right_hand
506,2,0train,4,219,27,S02_0train_T219,right_hand
507,2,0train,4,220,28,S02_0train_T220,right_hand
508,2,0train,4,221,29,S02_0train_T221,feet
509,2,0train,4,222,30,S02_0train_T222,tongue
510,2,0train,4,223,31,S02_0train_T223,left_hand
511,2,0train,4,224,32,S02_0train_T224,tongue
512,2,0train,4,225,33,S02_0train_T225,left_hand
513,2,0train,4,226,34,S02_0train_T226,feet
514,2,0train,4,227,35,S02_0train_T227,left_hand
515,2,0train,4,228,36,S02_0train_T228,tongue
516,2,0train,4,229,37,S02_0train_T229,left_hand
517,2,0train,4,230,38,S02_0train_T230,feet
518,2,0train,4,231,39,S02_0train_T231,left_hand
519,2,0train,4,232,40,S02_0train_T232,right_hand
520,2,0train,4,233,41,S02_0train_T233,feet
521,2,0train,4,234,42,S02_0train_T234,feet
522,2,0train,4,235,43,S02_0train_T235,tongue
523,2,0train,4,236,44,S02_0train_T236,left_hand
524,2,0train,4,237,45,S02_0train_T237,right_hand
525,2,0train,4,238,46,S02_0train_T238,tongue
526,2,0train,4,239,47,S02_0train_T239,right_hand
527,2,0train,4,240,48,S02_0train_T240,feet
528,2,0train,5,241,1,S02_0train_T241,feet
529,2,0train,5,242,2,S02_0train_T242,left_hand
