representation,subject,session,trial_id,class_label,window_index,symmetry_error,min_eig,max_eig,condition_number,is_spd,has_nan,has_inf,covariance_index,sample_index,run,run_trial_id,trial_uid
WHOLE,1,0train,18,left_hand,,0.0,8.598923438476826e-14,3.2624132504582003e-10,3793.978715824093,True,False,False,17,17,0,18,S01_0train_T018
WHOLE,1,0train,19,feet,,0.0,1.1224192029229216e-13,3.733058689266883e-10,3325.9041537649446,True,False,False,18,18,0,19,S01_0train_T019
WHOLE,1,0train,20,left_hand,,0.0,9.590932417006243e-14,3.496426730583286e-10,3645.5545494029,True,False,False,19,19,0,20,S01_0train_T020
WHOLE,1,0train,21,right_hand,,0.0,1.198885781779771e-13,4.90282114583165e-10,4089.4814337970624,True,False,False,20,20,0,21,S01_0train_T021
WHOLE,1,0train,22,tongue,,0.0,1.016258897795199e-13,4.2155135810822493e-10,4148.0705263470945,True,False,False,21,21,0,22,S01_0train_T022
WHOLE,1,0train,23,tongue,,0.0,1.17856332824683e-13,4.0470049367800666e-10,3433.845971433866,True,False,False,22,22,0,23,S01_0train_T023
WHOLE,1,0train,24,feet,,0.0,8.651527575311947e-14,3.489509787837057e-10,4033.403069528142,True,False,False,23,23,0,24,S01_0train_T024
WHOLE,1,0train,25,left_hand,,0.0,7.960722513135487e-14,2.9673678100236576e-10,3727.5106689466825,True,False,False,24,24,0,25,S01_0train_T025
WHOLE,1,0train,26,tongue,,0.0,9.985067199446339e-14,2.4241379396991503e-10,2427.7632701696452,True,False,False,25,25,0,26,S01_0train_T026
WHOLE,1,0train,27,tongue,,0.0,1.0156598375281165e-13,3.0950610503709245e-10,3047.3401979776954,True,False,False,26,26,0,27,S01_0train_T027
WHOLE,1,0train,28,right_hand,,0.0,8.981486182203506e-14,3.8813535715218173e-10,4321.504807536843,True,False,False,27,27,0,28,S01_0train_T028
WHOLE,1,0train,29,tongue,,0.0,1.323095977841006e-13,4.1678102676870964e-10,3150.0437893311578,True,False,False,28,28,0,29,S01_0train_T029
WHOLE,1,0train,30,tongue,,0.0,1.0233735247737324e-13,2.912803053223171e-10,2846.275560887889,True,False,False,29,29,0,30,S01_0train_T030
WHOLE,1,0train,31,right_hand,,0.0,7.042759323208656e-14,2.9311489971285505e-10,4161.932649706294,True,False,False,30,30,0,31,S01_0train_T031
WHOLE,1,0train,32,left_hand,,0.0,7.360152115199827e-14,2.525243506055934e-10,3430.9664617405456,True,False,False,31,31,0,32,S01_0train_T032
WHOLE,1,0train,33,right_hand,,0.0,7.80561647472783e-14,2.9703994784832427e-10,3805.464293692211,True,False,False,32,32,0,33,S01_0train_T033
WHOLE,1,0train,34,feet,,0.0,1.0040255841684354e-13,3.720793272108234e-10,3705.8749605368957,True,False,False,33,33,0,34,S01_0train_T034
WHOLE,1,0train,35,feet,,0.0,8.77393343424228e-14,3.366282965462825e-10,3836.686237355228,True,False,False,34,34,0,35,S01_0train_T035
WHOLE,1,0train,36,feet,,0.0,1.1426207824449748e-13,3.893338983651816e-10,3407.376308455432,True,False,False,35,35,0,36,S01_0train_T036
WHOLE,1,0train,37,tongue,,0.0,1.414424371082636e-13,3.9687698508953805e-10,2805.9258112595894,True,False,False,36,36,0,37,S01_0train_T037
WHOLE,1,0train,38,feet,,0.0,9.116739782868469e-14,3.927554743209283e-10,4308.069372112239,True,False,False,37,37,0,38,S01_0train_T038
WHOLE,1,0train,39,left_hand,,0.0,9.154362224715957e-14,4.781006279604412e-10,5222.65359644184,True,False,False,38,38,0,39,S01_0train_T039
WHOLE,1,0train,40,tongue,,0.0,1.0414133126719686e-13,3.918308027096235e-10,3762.4908184080896,True,False,False,39,39,0,40,S01_0train_T040
WHOLE,1,0train,41,right_hand,,0.0,9.856562285175249e-14,4.510216298925294e-10,4575.851263790906,True,False,False,40,40,0,41,S01_0train_T041
WHOLE,1,0train,42,feet,,0.0,9.751906929742935e-14,3.1748764318758727e-10,3255.646772215005,True,False,False,41,41,0,42,S01_0train_T042
WHOLE,1,0train,43,right_hand,,0.0,7.440433274129245e-14,3.2490546386538316e-10,4366.754621603765,True,False,False,42,42,0,43,S01_0train_T043
WHOLE,1,0train,44,feet,,0.0,9.587914394856259e-14,3.0740141958126144e-10,3206.134378360498,True,False,False,43,43,0,44,S01_0train_T044
WHOLE,1,0train,45,tongue,,0.0,1.2924974552382757e-13,3.182619438840416e-10,2462.379655713667,True,False,False,44,44,0,45,S01_0train_T045
WHOLE,1,0train,46,right_hand,,0.0,9.699344018539457e-14,3.3952913339009874e-10,3500.5370748899945,True,False,False,45,45,0,46,S01_0train_T046
WHOLE,1,0train,47,feet,,0.0,8.657984826163279e-14,3.3987847706368855e-10,3925.6072156262157,True,False,False,46,46,0,47,S01_0train_T047
WHOLE,1,0train,48,left_hand,,0.0,9.754305380394518e-14,4.4036563368683547e-10,4514.577066368458,True,False,False,47,47,0,48,S01_0train_T048
WHOLE,1,0train,49,left_hand,,0.0,7.98613771318223e-14,3.270130716103027e-10,4094.7587351332822,True,False,False,48,48,1,1,S01_0train_T049
WHOLE,1,0train,50,left_hand,,0.0,8.885652761770274e-14,3.7534768281526233e-10,4224.199311840793,True,False,False,49,49,1,2,S01_0train_T050
WHOLE,1,0train,51,tongue,,0.0,1.1439688958790006e-13,3.142439871338708e-10,2746.9626863623125,True,False,False,50,50,1,3,S01_0train_T051
WHOLE,1,0train,52,right_hand,,0.0,7.440420338348463e-14,3.1866256384341483e-10,4282.857007432833,True,False,False,51,51,1,4,S01_0train_T052
WHOLE,1,0train,53,left_hand,,0.0,1.0148573100962768e-13,5.484491137290229e-10,5404.199272871109,True,False,False,52,52,1,5,S01_0train_T053
WHOLE,1,0train,54,feet,,0.0,1.0404174076100267e-13,3.697371048191671e-10,3553.738164267176,True,False,False,53,53,1,6,S01_0train_T054
WHOLE,1,0train,55,left_hand,,0.0,7.750376122919341e-14,3.458058549069004e-10,4461.794491292965,True,False,False,54,54,1,7,S01_0train_T055
WHOLE,1,0train,56,feet,,0.0,1.060922711373045e-13,3.3631858516338827e-10,3170.0573619366214,True,False,False,55,55,1,8,S01_0train_T056
WHOLE,1,0train,57,right_hand,,0.0,8.288891903752332e-14,3.9147881114177586e-10,4722.933001027021,True,False,False,56,56,1,9,S01_0train_T057
WHOLE,1,0train,58,tongue,,0.0,1.0954254654764222e-13,3.459779223191232e-10,3158.3885277730924,True,False,False,57,57,1,10,S01_0train_T058
WHOLE,1,0train,59,left_hand,,0.0,1.0052642375567865e-13,5.260588278584787e-10,5233.040311242168,True,False,False,58,58,1,11,S01_0train_T059
WHOLE,1,0train,60,feet,,0.0,1.1558995425890035e-13,4.1464935007264984e-10,3587.2438286800525,True,False,False,59,59,1,12,S01_0train_T060
WHOLE,1,0train,61,feet,,0.0,1.318435275461493e-13,4.575939017174731e-10,3470.73466732981,True,False,False,60,60,1,13,S01_0train_T061
WHOLE,1,0train,62,left_hand,,0.0,8.002859820311809e-14,3.517787767573536e-10,4395.663358547339,True,False,False,61,61,1,14,S01_0train_T062
WHOLE,1,0train,63,feet,,0.0,1.194972999896818e-13,4.3701286963940683e-10,3657.0940906375413,True,False,False,62,62,1,15,S01_0train_T063
WHOLE,1,0train,64,right_hand,,0.0,8.192924287406286e-14,3.516587983223878e-10,4292.225656996958,True,False,False,63,63,1,16,S01_0train_T064
WHOLE,1,0train,65,tongue,,0.0,1.2551453569602744e-13,4.2556214544572624e-10,3390.5407296917197,True,False,False,64,64,1,17,S01_0train_T065
WHOLE,1,0train,66,tongue,,0.0,1.1999029346346865e-13,4.658657939473191e-10,3882.528998807334,True,False,False,65,65,1,18,S01_0train_T066
WHOLE,1,0train,67,tongue,,0.0,1.0935125332262882e-13,2.5911645209454636e-10,2369.5791700718037,True,False,False,66,66,1,19,S01_0train_T067
WHOLE,1,0train,68,feet,,0.0,1.1379549420572184e-13,4.5764273072913753e-10,4021.6243527340507,True,False,False,67,67,1,20,S01_0train_T068
WHOLE,1,0train,69,left_hand,,0.0,8.087626439410766e-14,3.3996182363372003e-10,4203.480788592015,True,False,False,68,68,1,21,S01_0train_T069
WHOLE,1,0train,70,tongue,,0.0,1.378093824794559e-13,4.6194392049037836e-10,3352.0498545100386,True,False,False,69,69,1,22,S01_0train_T070
WHOLE,1,0train,71,right_hand,,0.0,7.986726329118498e-14,3.306498081620389e-10,4139.9917129567275,True,False,False,70,70,1,23,S01_0train_T071
WHOLE,1,0train,72,tongue,,0.0,9.905777371767801e-14,3.598127574064354e-10,3632.352554499442,True,False,False,71,71,1,24,S01_0train_T072
WHOLE,1,0train,73,right_hand,,0.0,7.413974089087186e-14,3.30650738350335e-10,4459.831318226862,True,False,False,72,72,1,25,S01_0train_T073
WHOLE,1,0train,74,left_hand,,0.0,6.498267411788909e-14,2.4972388234008853e-10,3842.930223016815,True,False,False,73,73,1,26,S01_0train_T074
WHOLE,1,0train,75,feet,,0.0,1.0224270105678446e-13,4.080299678043365e-10,3990.7980089231132,True,False,False,74,74,1,27,S01_0train_T075
WHOLE,1,0train,76,right_hand,,0.0,8.091528012347748e-14,4.011391948223508e-10,4957.520930659927,True,False,False,75,75,1,28,S01_0train_T076
WHOLE,1,0train,77,left_hand,,0.0,8.861146229418387e-14,2.9983505423360327e-10,3383.7050700977243,True,False,False,76,76,1,29,S01_0train_T077
WHOLE,1,0train,78,feet,,0.0,1.0508136512301236e-13,4.2663883856654097e-10,4060.080853223603,True,False,False,77,77,1,30,S01_0train_T078
WHOLE,1,0train,79,feet,,0.0,1.3631888534218364e-13,4.878006452065106e-10,3578.3790630479984,True,False,False,78,78,1,31,S01_0train_T079
WHOLE,1,0train,80,left_hand,,0.0,1.1784541830879113e-13,5.764456923389504e-10,4891.540974707103,True,False,False,79,79,1,32,S01_0train_T080
WHOLE,1,0train,81,feet,,0.0,1.4805560933450184e-13,6.214838990738837e-10,4197.638318922223,True,False,False,80,80,1,33,S01_0train_T081
WHOLE,1,0train,82,tongue,,0.0,1.0957279739593526e-13,3.491625564305749e-10,3186.5806544017973,True,False,False,81,81,1,34,S01_0train_T082
WHOLE,1,0train,83,tongue,,0.0,1.3790829704676381e-13,5.908101940269119e-10,4284.080121927485,True,False,False,82,82,1,35,S01_0train_T083
WHOLE,1,0train,84,right_hand,,0.0,8.215432381463683e-14,3.8259513473880407e-10,4657.029806514455,True,False,False,83,83,1,36,S01_0train_T084
WHOLE,1,0train,85,left_hand,,0.0,1.0211286457697228e-13,4.5778674073997467e-10,4483.144632524698,True,False,False,84,84,1,37,S01_0train_T085
WHOLE,1,0train,86,right_hand,,0.0,1.0124400250679732e-13,4.4021222265529964e-10,4348.032592110774,True,False,False,85,85,1,38,S01_0train_T086
WHOLE,1,0train,87,tongue,,0.0,1.0779735422589196e-13,3.911514791343615e-10,3628.5814428681997,True,False,False,86,86,1,39,S01_0train_T087
WHOLE,1,0train,88,right_hand,,0.0,7.540971749104764e-14,3.3955497149767113e-10,4502.801267462404,True,False,False,87,87,1,40,S01_0train_T088
WHOLE,1,0train,89,tongue,,0.0,1.2722099771503443e-13,3.724080887904502e-10,2927.2533267237586,True,False,False,88,88,1,41,S01_0train_T089
WHOLE,1,0train,90,feet,,0.0,1.0331235028546906e-13,3.865271918341475e-10,3741.3454515951785,True,False,False,89,89,1,42,S01_0train_T090
WHOLE,1,0train,91,right_hand,,0.0,6.672048449043766e-14,2.533374915247186e-10,3796.997180993594,True,False,False,90,90,1,43,S01_0train_T091
WHOLE,1,0train,92,right_hand,,0.0,1.1112780757838788e-13,4.875723769817876e-10,4387.492092272777,True,False,False,91,91,1,44,S01_0train_T092
WHOLE,1,0train,93,right_hand,,0.0,8.916363671253282e-14,3.7420273981887155e-10,4196.808851856462,True,False,False,92,92,1,45,S01_0train_T093
WHOLE,1,0train,94,feet,,0.0,1.251014103864351e-13,4.172524634966708e-10,3335.3138242629598,True,False,False,93,93,1,46,S01_0train_T094
WHOLE,1,0train,95,tongue,,0.0,1.303580804346578e-13,4.830109583186238e-10,3705.2628936242572,True,False,False,94,94,1,47,S01_0train_T095
WHOLE,1,0train,96,left_hand,,0.0,1.2576436035179418e-13,5.386841540716377e-10,4283.281468333351,True,False,False,95,95,1,48,S01_0train_T096
WHOLE,1,0train,97,right_hand,,0.0,9.206786533898469e-14,3.9625747213512685e-10,4303.971539647915,True,False,False,96,96,2,1,S01_0train_T097
WHOLE,1,0train,98,tongue,,0.0,1.0216000630601265e-13,3.382257780456968e-10,3310.745469538899,True,False,False,97,97,2,2,S01_0train_T098
WHOLE,1,0train,99,left_hand,,0.0,9.859739373830299e-14,4.708561012014896e-10,4775.543078260618,True,False,False,98,98,2,3,S01_0train_T099
WHOLE,1,0train,100,feet,,0.0,9.12116914006306e-14,2.636768144459064e-10,2890.8225513301186,True,False,False,99,99,2,4,S01_0train_T100
WHOLE,1,0train,101,feet,,0.0,1.0584452397246927e-13,5.149983995177974e-10,4865.612127952422,True,False,False,100,100,2,5,S01_0train_T101
WHOLE,1,0train,102,tongue,,0.0,1.1530998165755998e-13,3.9021606018374954e-10,3384.0614192671333,True,False,False,101,101,2,6,S01_0train_T102
WHOLE,1,0train,103,left_hand,,0.0,8.59361128550249e-14,3.1975893691220175e-10,3720.8913259974693,True,False,False,102,102,2,7,S01_0train_T103
WHOLE,1,0train,104,left_hand,,0.0,9.713673408069653e-14,3.905469214887847e-10,4020.5893803711483,True,False,False,103,103,2,8,S01_0train_T104
WHOLE,1,0train,105,feet,,0.0,1.331340187360725e-13,5.378258477092969e-10,4039.7326905266295,True,False,False,104,104,2,9,S01_0train_T105
WHOLE,1,0train,106,right_hand,,0.0,7.279510683523145e-14,3.005521281640429e-10,4128.740807322799,True,False,False,105,105,2,10,S01_0train_T106
WHOLE,1,0train,107,tongue,,0.0,1.3808287677276235e-13,5.047720588526033e-10,3655.5731648268534,True,False,False,106,106,2,11,S01_0train_T107
WHOLE,1,0train,108,tongue,,0.0,1.438915035565121e-13,5.012529038847458e-10,3483.547613969321,True,False,False,107,107,2,12,S01_0train_T108
WHOLE,1,0train,109,tongue,,0.0,1.0645565272697432e-13,5.602133970238343e-10,5262.410991557279,True,False,False,108,108,2,13,S01_0train_T109
WHOLE,1,0train,110,right_hand,,0.0,1.1253492926924443e-13,4.101969811288083e-10,3645.0636597228868,True,False,False,109,109,2,14,S01_0train_T110
WHOLE,1,0train,111,left_hand,,0.0,7.756475997814754e-14,2.58134036227335e-10,3327.980854966348,True,False,False,110,110,2,15,S01_0train_T111
WHOLE,1,0train,112,feet,,0.0,9.227057836233398e-14,2.8351282828715574e-10,3072.6243762539293,True,False,False,111,111,2,16,S01_0train_T112
WHOLE,1,0train,113,right_hand,,0.0,7.650183131475792e-14,2.4450895209958736e-10,3196.1189411738865,True,False,False,112,112,2,17,S01_0train_T113
WHOLE,1,0train,114,tongue,,0.0,1.1598555928150252e-13,3.1584117121370025e-10,2723.1077141865444,True,False,False,113,113,2,18,S01_0train_T114
WHOLE,1,0train,115,left_hand,,0.0,8.437865214459186e-14,2.9384138268520227e-10,3482.4138003730327,True,False,False,114,114,2,19,S01_0train_T115
WHOLE,1,0train,116,tongue,,0.0,1.1839004405927418e-13,4.003500982342433e-10,3381.6196405316023,True,False,False,115,115,2,20,S01_0train_T116
WHOLE,1,0train,117,feet,,0.0,9.781053958507122e-14,3.3033527839846344e-10,3377.297373062262,True,False,False,116,116,2,21,S01_0train_T117
WHOLE,1,0train,118,right_hand,,0.0,6.846571194916257e-14,2.647553127872532e-10,3866.9766989911727,True,False,False,117,117,2,22,S01_0train_T118
WHOLE,1,0train,119,tongue,,0.0,1.3066577796267025e-13,5.368780291205509e-10,4108.788372070389,True,False,False,118,118,2,23,S01_0train_T119
WHOLE,1,0train,120,tongue,,0.0,1.216552178124845e-13,5.248632804453238e-10,4314.350751928548,True,False,False,119,119,2,24,S01_0train_T120
WHOLE,1,0train,121,left_hand,,0.0,1.0759660171376269e-13,3.8243067721643914e-10,3554.3007039740214,True,False,False,120,120,2,25,S01_0train_T121
WHOLE,1,0train,122,right_hand,,0.0,8.957796286722071e-14,4.402347018277022e-10,4914.542458174134,True,False,False,121,121,2,26,S01_0train_T122
WHOLE,1,0train,123,right_hand,,0.0,9.013449804607275e-14,4.0332184731708733e-10,4474.666815262311,True,False,False,122,122,2,27,S01_0train_T123
WHOLE,1,0train,124,feet,,0.0,9.872957566666912e-14,3.272302554022388e-10,3314.4096203455174,True,False,False,123,123,2,28,S01_0train_T124
WHOLE,1,0train,125,tongue,,0.0,1.101962205734705e-13,3.5012934153452547e-10,3177.3262250957664,True,False,False,124,124,2,29,S01_0train_T125
WHOLE,1,0train,126,right_hand,,0.0,9.863388067228834e-14,4.700007651008745e-10,4765.1046668482495,True,False,False,125,125,2,30,S01_0train_T126
WHOLE,1,0train,127,left_hand,,0.0,1.1795198437172803e-13,4.341653104552352e-10,3680.864826207201,True,False,False,126,126,2,31,S01_0train_T127
WHOLE,1,0train,128,left_hand,,0.0,8.430091704388505e-14,2.7234743412414306e-10,3230.658024542787,True,False,False,127,127,2,32,S01_0train_T128
WHOLE,1,0train,129,tongue,,0.0,9.772999463754812e-14,3.36462614048311e-10,3442.7773714318937,True,False,False,128,128,2,33,S01_0train_T129
WHOLE,1,0train,130,right_hand,,0.0,8.09624424961338e-14,3.08391889472356e-10,3809.07344151682,True,False,False,129,129,2,34,S01_0train_T130
WHOLE,1,0train,131,left_hand,,0.0,7.771532983182494e-14,3.5196893488285167e-10,4528.9511817618,True,False,False,130,130,2,35,S01_0train_T131
WHOLE,1,0train,132,feet,,0.0,1.379127476488275e-13,4.682171821680814e-10,3395.024681549531,True,False,False,131,131,2,36,S01_0train_T132
WHOLE,1,0train,133,right_hand,,0.0,9.036800735072335e-14,2.9894650772706893e-10,3308.1011354697753,True,False,False,132,132,2,37,S01_0train_T133
WHOLE,1,0train,134,right_hand,,0.0,9.055540492714087e-14,3.9430495670836363e-10,4354.295108344044,True,False,False,133,133,2,38,S01_0train_T134
WHOLE,1,0train,135,feet,,0.0,1.1676895685806489e-13,4.296370984276049e-10,3679.3777215106734,True,False,False,134,134,2,39,S01_0train_T135
WHOLE,1,0train,136,left_hand,,0.0,9.549220446795769e-14,3.1059795774037485e-10,3252.600141246039,True,False,False,135,135,2,40,S01_0train_T136
WHOLE,1,0train,137,tongue,,0.0,1.1546744813793738e-13,3.551552578181153e-10,3075.8041642510966,True,False,False,136,136,2,41,S01_0train_T137
WHOLE,1,0train,138,feet,,0.0,9.48619169733222e-14,3.155519822177946e-10,3326.4348042485435,True,False,False,137,137,2,42,S01_0train_T138
WHOLE,1,0train,139,feet,,0.0,1.568078692599391e-13,7.999663246095982e-10,5101.570019317721,True,False,False,138,138,2,43,S01_0train_T139
WHOLE,1,0train,140,feet,,0.0,1.2887690983491238e-13,5.129583964362193e-10,3980.2195528532166,True,False,False,139,139,2,44,S01_0train_T140
WHOLE,1,0train,141,feet,,0.0,1.263931011763147e-13,5.422303239489878e-10,4290.03101358034,True,False,False,140,140,2,45,S01_0train_T141
WHOLE,1,0train,142,left_hand,,0.0,1.021967936588352e-13,4.150621432804507e-10,4061.400836762626,True,False,False,141,141,2,46,S01_0train_T142
WHOLE,1,0train,143,right_hand,,0.0,8.57049603612342e-14,3.6725331871077755e-10,4285.088251168394,True,False,False,142,142,2,47,S01_0train_T143
WHOLE,1,0train,144,left_hand,,0.0,8.949899425328626e-14,3.0482480883339483e-10,3405.9020593094783,True,False,False,143,143,2,48,S01_0train_T144
WHOLE,1,0train,145,right_hand,,0.0,7.318401151421687e-14,2.713291454505917e-10,3707.492112507153,True,False,False,144,144,3,1,S01_0train_T145
WHOLE,1,0train,146,left_hand,,0.0,9.160029117561351e-14,4.175263857665843e-10,4558.133826956013,True,False,False,145,145,3,2,S01_0train_T146
WHOLE,1,0train,147,left_hand,,0.0,9.526758089893727e-14,4.514042061359982e-10,4738.27719646688,True,False,False,146,146,3,3,S01_0train_T147
WHOLE,1,0train,148,feet,,0.0,1.21842670378002e-13,4.56945946053354e-10,3750.2949060106366,True,False,False,147,147,3,4,S01_0train_T148
WHOLE,1,0train,149,feet,,0.0,1.1345900450443776e-13,3.796495981098285e-10,3346.138984455651,True,False,False,148,148,3,5,S01_0train_T149
WHOLE,1,0train,150,right_hand,,0.0,7.685461775403036e-14,2.6188362998194324e-10,3407.5197774073854,True,False,False,149,149,3,6,S01_0train_T150
WHOLE,1,0train,151,feet,,0.0,1.1351249595169658e-13,4.2352894412818776e-10,3731.1217639722568,True,False,False,150,150,3,7,S01_0train_T151
WHOLE,1,0train,152,tongue,,0.0,1.261370289804796e-13,4.260754031454705e-10,3377.87727037243,True,False,False,151,151,3,8,S01_0train_T152
WHOLE,1,0train,153,left_hand,,0.0,7.8343292673412e-14,3.3491094807370023e-10,4274.915396648393,True,False,False,152,152,3,9,S01_0train_T153
WHOLE,1,0train,154,tongue,,0.0,1.3291895393479912e-13,4.9367574595927e-10,3714.1109777423717,True,False,False,153,153,3,10,S01_0train_T154
WHOLE,1,0train,155,left_hand,,0.0,9.89087633451474e-14,3.968301403089483e-10,4012.082720357026,True,False,False,154,154,3,11,S01_0train_T155
WHOLE,1,0train,156,left_hand,,0.0,8.931748029638349e-14,3.799426002331651e-10,4253.843692997116,True,False,False,155,155,3,12,S01_0train_T156
WHOLE,1,0train,157,right_hand,,0.0,8.843567286996769e-14,4.0860784870500753e-10,4620.396220717496,True,False,False,156,156,3,13,S01_0train_T157
WHOLE,1,0train,158,tongue,,0.0,1.2142083042743282e-13,3.529163133732575e-10,2906.5549307388237,True,False,False,157,157,3,14,S01_0train_T158
WHOLE,1,0train,159,feet,,0.0,1.0471512811077821e-13,3.986264005073143e-10,3806.769926171576,True,False,False,158,158,3,15,S01_0train_T159
WHOLE,1,0train,160,right_hand,,0.0,8.408476868180652e-14,3.5176996019829685e-10,4183.515822341908,True,False,False,159,159,3,16,S01_0train_T160
WHOLE,1,0train,161,tongue,,0.0,1.1114000163902089e-13,3.869162302403702e-10,3481.3408721826504,True,False,False,160,160,3,17,S01_0train_T161
WHOLE,1,0train,162,feet,,0.0,1.1714880990779845e-13,5.483336558874549e-10,4680.659208736469,True,False,False,161,161,3,18,S01_0train_T162
WHOLE,1,0train,163,tongue,,0.0,1.4288011252399143e-13,5.641198741087731e-10,3948.2042962000755,True,False,False,162,162,3,19,S01_0train_T163
WHOLE,1,0train,164,feet,,0.0,1.2278858663297062e-13,6.060301783466426e-10,4935.55789642027,True,False,False,163,163,3,20,S01_0train_T164
WHOLE,1,0train,165,tongue,,0.0,1.275193586166863e-13,4.5514805075665884e-10,3569.24670649262,True,False,False,164,164,3,21,S01_0train_T165
WHOLE,1,0train,166,right_hand,,0.0,7.213896127775637e-14,3.273912231921145e-10,4538.341242973562,True,False,False,165,165,3,22,S01_0train_T166
WHOLE,1,0train,167,right_hand,,0.0,1.038663451948717e-13,3.879178741723752e-10,3734.7792823996297,True,False,False,166,166,3,23,S01_0train_T167
WHOLE,1,0train,168,tongue,,0.0,1.1780592817755952e-13,4.856457271298029e-10,4122.421805444525,True,False,False,167,167,3,24,S01_0train_T168
WHOLE,1,0train,169,left_hand,,0.0,1.0499505614541618e-13,4.167577679842073e-10,3969.308492078004,True,False,False,168,168,3,25,S01_0train_T169
WHOLE,1,0train,170,right_hand,,0.0,8.954861537509837e-14,3.833914210560871e-10,4281.377433365657,True,False,False,169,169,3,26,S01_0train_T170
WHOLE,1,0train,171,right_hand,,0.0,9.409944704935238e-14,3.303736532099548e-10,3510.8989858004543,True,False,False,170,170,3,27,S01_0train_T171
WHOLE,1,0train,172,right_hand,,0.0,1.0144566654411972e-13,5.425691302743437e-10,5348.371682671877,True,False,False,171,171,3,28,S01_0train_T172
WHOLE,1,0train,173,feet,,0.0,1.4261922369219598e-13,4.5021341458570406e-10,3156.75126347178,True,False,False,172,172,3,29,S01_0train_T173
WHOLE,1,0train,174,tongue,,0.0,1.2098231773338095e-13,4.1841383587177405e-10,3458.470987420396,True,False,False,173,173,3,30,S01_0train_T174
WHOLE,1,0train,175,left_hand,,0.0,1.2158598102184546e-13,5.880562511195621e-10,4836.546501310093,True,False,False,174,174,3,31,S01_0train_T175
WHOLE,1,0train,176,tongue,,0.0,1.1274764395531225e-13,4.4614630469717314e-10,3957.0343915479434,True,False,False,175,175,3,32,S01_0train_T176
WHOLE,1,0train,177,left_hand,,0.0,8.619129748741174e-14,4.3362683922111936e-10,5030.981686804873,True,False,False,176,176,3,33,S01_0train_T177
WHOLE,1,0train,178,feet,,0.0,8.379990655551389e-14,2.827721963609964e-10,3374.373647704151,True,False,False,177,177,3,34,S01_0train_T178
WHOLE,1,0train,179,left_hand,,0.0,8.607749761569042e-14,4.011825275074445e-10,4660.713178473208,True,False,False,178,178,3,35,S01_0train_T179
WHOLE,1,0train,180,tongue,,0.0,1.241899189775608e-13,4.537630717252835e-10,3653.7834589236786,True,False,False,179,179,3,36,S01_0train_T180
